Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Rivers, Danae",JR-3,Penn State,4:29.47,112th NYRR Millrose Games,"Feb 9, 2019",269.47
2,"Hull, Jessica",SR-4,Oregon,4:31.03,Razorback Invitational,"Jan 25, 2019",271.03
3,"Kelati, Weini",SO-2,New Mexico,"4:31.70
@",Mountain West Indoor Track & Field Championships,"Feb 21, 2019",271.7
4,"Meier, Hannah",SR-4,Michigan,4:32.46,Big Ten Indoor Track and Field Championships,"Feb 22, 2019",272.46
5,"Rizk, Julia",SR-4,Ohio State,4:32.79,Big Ten Indoor Track and Field Championships,"Feb 22, 2019",272.79
6,"Gregory, Lauren",FR-1,Arkansas,4:32.92,Razorback Invitational,"Jan 25, 2019",272.92
7,"Hutchinson, Nicole",SR-4,Villanova,4:33.47,Dr. Sander Columbia Challenge,"Jan 24, 2019",273.47
8,"Edwards, Sarah",JR-3,Virginia Tech,"4:33.78
#",Camel City Invitational,"Feb 1, 2019",273.78
8,"Pocratsky, Rachel",SR-4,Virginia Tech,"4:33.78
#",Camel City Invitational,"Feb 1, 2019",273.78
10,"Paladino, Millie",SR-4,Providence,4:33.79,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",273.79
11,"Viljoen, Carina",JR-3,Arkansas,4:33.88,Razorback Invitational,"Jan 25, 2019",273.88
12,"Birk, Erica",SR-4,BYU,4:34.59,2019 MPSF Indoor Track & Field Championships,"Feb 22, 2019",274.59000000000003
13,"Nelson, Karisa",SR-4,Samford,4:34.81,Dr. Sander Columbia Challenge,"Jan 24, 2019",274.81
14,"Ejore, Susan",JR-3,Oregon,4:34.83,2019 MPSF Indoor Track & Field Championships,"Feb 22, 2019",274.83
15,"Scholl, Tabor",JR-3,Colorado,"4:34.98
@",Colorado Invitational 2019,"Jan 31, 2019",274.98
16,"Rainsberger, Katie",SO-2,Washington,4:35.15,2019 Last Chance College Elite,"Feb 15, 2019",275.15
17,"Ostrander, Allie",JR-3,Boise State,"4:35.25
@",Mountain West Indoor Track & Field Championships,"Feb 21, 2019",275.25
18,"Johnson, Sinclaire",SO-2,Oklahoma State,4:35.62,2019 UW Invitational,"Jan 25, 2019",275.62
19,"Fuller, Annie",SO-2,Michigan State,4:35.63,Big Ten Indoor Track and Field Championships,"Feb 22, 2019",275.63
19,"Andrews, Mackenzie",SR-4,Akron,4:35.63,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",275.63
21,"Fuller, Alexis",SR-4,Boise State,"4:35.96
@",Mountain West Indoor Track & Field Championships,"Feb 21, 2019",275.96
22,"Rawlings, Taryn",SR-4,Portland,4:36.00,2019 MPSF Indoor Track & Field Championships,"Feb 22, 2019",276.0
23,"Monson, Alicia",JR-3,Wisconsin,"4:36.05
#",Badger Icebreaker,"Jan 12, 2019",276.05
24,"Orton, Whittni",JR-3,BYU,4:36.14,2019 Last Chance College Elite,"Feb 15, 2019",276.14
25,"Feeny, Sarah",JR-3,Utah,4:36.67,2019 MPSF Indoor Track & Field Championships,"Feb 22, 2019",276.67
26,"Schadler, Allie",SO-2,Washington,4:37.12,2019 Husky Classic,"Feb 8, 2019",277.12
27,"McArthur, Rachel",SO-2,Villanova,4:37.79,Villanova Invitational,"Feb 2, 2019",277.79
28,"Morris, Logan",SO-2,Clemson,"4:38.51
#",JDL DMR Invitational,"Feb 15, 2019",278.51
29,"Clairmonte, Dominique",SO-2,North Carolina St.,4:38.55,Hokie Invitational,"Jan 18, 2019",278.55
30,"Henes, Elly",JR-3,North Carolina St.,4:38.75,Hokie Invitational,"Jan 18, 2019",278.75
31,"Simmons, Cierra",SR-4,Utah State,"4:39.00
@",Don Kirby Elite Invitational,"Feb 8, 2019",279.0
32,"O'Keeffe, Fiona",SO-2,Stanford,4:39.71,2019 UW Invitational,"Jan 25, 2019",279.71
33,"Cohen, Adva",SO-2,New Mexico,"4:39.75
@",New Mexico Classic,"Feb 1, 2019",279.75
34,"Ilse, Morgan",SR-4,North Carolina,"4:39.76
#",JDL DMR Invitational,"Feb 15, 2019",279.76
35,"Koech, Lilian",SR-4,UTEP,"4:39.97
@",New Mexico Classic,"Feb 1, 2019",279.97
36,"Skyring, Maudie",SO-2,Florida State,4:40.17,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",280.17
37,"Jennings, Gabrielle",JR-3,Furman,4:40.51,Southern Conference Indoor Track and Field Championships,"Feb 23, 2019",280.51
38,"Bissah, Martha",JR-3,Norfolk State,"4:40.57
#",JDL DMR Invitational,"Feb 15, 2019",280.57
39,"Jackson , Hayley",FR-1,West Virginia,"4:40.72
#",JDL DMR Invitational,"Feb 15, 2019",280.72
40,"Heymach, Julia",SO-2,Stanford,4:40.94,2019 Husky Classic,"Feb 8, 2019",280.94
41,"Camp, Anna",JR-3,BYU,4:41.01,Iowa State Classic,"Feb 8, 2019",281.01
41,"Nuttall, Hannah",JR-3,New Mexico,"4:41.01
@",New Mexico Classic,"Feb 1, 2019",281.01
43,"Chepkosgei, Carolyne",SO-2,UTEP,"4:41.05
@",New Mexico Classic,"Feb 1, 2019",281.05
44,"Hasz, Bethany",SO-2,Minnesota,4:41.14,Big Ten Indoor Track and Field Championships,"Feb 22, 2019",281.14
45,"Casey, Kieran",SR-4,New Mexico,4:41.25,2019 Husky Classic,"Feb 8, 2019",281.25
46,"Wilson, Allie",SR-4,Monmouth,4:41.38,Metro Atlantic Indoor Track & Field Championships,"Feb 16, 2019",281.38
47,"Gehrich, Amanda",JR-3,Oregon,4:41.44,2019 MPSF Indoor Track & Field Championships,"Feb 22, 2019",281.44
48,"Harris, Haley",SR-4,Indiana,4:41.50,Iowa State Classic,"Feb 8, 2019",281.5
49,"Murdock, Shannon",JR-3,New Hampshire,4:41.61,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",281.61
50,"Salvo, Miranda",SR-4,Pittsburgh,4:41.65,ACC Indoor Track & Field Championships,"Feb 21, 2019",281.65
51,"Wasserman, Katie",JR-3,Columbia,4:41.95,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",281.95
52,"Judd, Jodie",SO-2,Florida State,4:42.10,Clemson Bob Pollock Invitational,"Jan 25, 2019",282.1
53,"Burdon, Lilli",SR-4,Washington,4:42.16,2019 UW Preview,"Jan 12, 2019",282.15999999999997
54,"Gillespie, Kathryn",JR-3,Harvard,4:42.52,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",282.52
55,"Arteaga, Carlyn",JR-3,Michigan State,4:42.69,2019 Meyo Invitational,"Feb 1, 2019",282.69
56,"Niggemann, Alissa",SO-2,Wisconsin,"4:42.85
#",Badger Icebreaker,"Jan 12, 2019",282.85
57,"Simiuc, Petronela",JR-3,Toledo,4:42.92,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",282.92
58,"Klein, Dana",SR-4,San Francisco,4:42.94,2019 UW Invitational,"Jan 25, 2019",282.94
59,"Reed, Maddy",JR-3,Arkansas,4:43.03,SEC Indoor Championships,"Feb 22, 2019",283.03
60,"Darmofal, Meg",JR-3,Michigan,4:43.13,Music City Challenge,"Feb 8, 2019",283.13
61,"Steelman , Hannah",SO-2,Wofford,4:43.14,Southern Conference Indoor Track and Field Championships,"Feb 23, 2019",283.14
62,"Pascoe, Jessica",JR-3,Florida,4:43.36,Razorback Invitational,"Jan 25, 2019",283.36
