Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
63,"Shulz, Johanna",JR-3,Wake Forest,4:43.38,ACC Indoor Track & Field Championships,"Feb 21, 2019",283.38
64,"Schoffield, Kristie",SO-2,Boise State,4:43.43,2019 UW Invitational,"Jan 25, 2019",283.43
65,"Hill, Alice",SO-2,Michigan,4:43.52,Music City Challenge,"Feb 8, 2019",283.52
66,"Welsh, Athena",JR-3,Toledo,4:43.54,GVSU Open,"Jan 25, 2019",283.54
67,"Noe, Janelle",SR-4,Toledo,4:43.59,GVSU Open,"Jan 25, 2019",283.59000000000003
68,"Donaghu, Ella",SO-2,Stanford,4:43.77,2019 Husky Classic,"Feb 8, 2019",283.77
69,"Roberts, Aubrey",SO-2,Northwestern,4:43.81,2019 Meyo Invitational,"Feb 1, 2019",283.81
70,"Maxwell, Anna",SR-4,Washington,4:43.86,2019 Husky Classic,"Feb 8, 2019",283.86
71,"Meyers, Sydney",SR-4,Eastern Michigan,4:43.88,2019 Meyo Invitational,"Feb 1, 2019",283.88
72,"Wagner, Gillian",FR-1,Princeton,"4:43.94
#",H-Y-P,"Jan 26, 2019",283.94
73,"Nichols, Abby",JR-3,Ohio State,4:43.96,Dr. Sander Columbia Challenge,"Jan 24, 2019",283.96
74,"Cruz, Alex",JR-3,Texas,4:44.12,Clemson Invitational,"Jan 18, 2019",284.12
75,"Moore, S. Brooke",SR-4,Indiana State,4:44.15,2019 Meyo Invitational,"Feb 1, 2019",284.15
