Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
25,"Wiersma, Alexis",SR-4,Michigan State,9:11.63,2017 Meyo Invitational,"Feb 3, 2017",551.63
26,"LaRocco, Lauren",SO-2,Portland,9:12.16,MPSF Indoor Track & Field Championships,"Feb 24, 2017",552.16
27,"Montoya, Maggie",SR-4,Baylor,9:12.89,Iowa State Classic,"Feb 10, 2017",552.89
28,"Bogdanova, Alsu",SR-4,Eastern Michigan,9:15.03,Iowa State Classic,"Feb 10, 2017",555.03
29,"Rohrer, Anna",SO-2,Notre Dame,9:15.22,2017 Meyo Invitational,"Feb 3, 2017",555.22
30,"Nelson, Karisa",JR-3,Samford,9:15.34,Vanderbilt Invitational,"Jan 20, 2017",555.34
31,"Stoner, Paige",SO-2,Syracuse,9:15.80,Boston University David Hemery Valentine Inv.,"Feb 10, 2017",555.8
32,"Richardson, Hannah",SR-4,Kansas,9:16.02,Big 12 Indoor Track & Field Championships,"Feb 24, 2017",556.02
33,"Schmaedick, Maggie",JR-3,Oregon,9:16.59,Columbia East-West Challenge,"Jan 27, 2017",556.59
34,"Brown, Shelby",JR-3,Ole Miss,9:17.39,Iowa State Classic,"Feb 10, 2017",557.39
35,"Strandemo, Madeline",JR-3,Minnesota,9:17.54,Iowa State Classic,"Feb 10, 2017",557.54
36,"Frazier, Ryen",FR-1,North Carolina St.,9:17.60,Iowa State Classic,"Feb 10, 2017",557.6
37,"Chase, Sophie",JR-3,Stanford,9:17.95,Iowa State Classic,"Feb 10, 2017",557.95
38,"Neale, Amy-Eloise",JR-3,Washington,9:17.97,2017 UW Invitational,"Jan 27, 2017",557.97
39,"Meydrich, Mia",JR-3,Miss State,9:18.13,Boston University Scarlet and White,"Feb 3, 2017",558.13
40,"Cardama Baez, Carmela",FR-1,Florida State,9:18.20,Boston University David Hemery Valentine Inv.,"Feb 10, 2017",558.2
40,"Boyd, Cleo",SR-4,Virginia,9:18.20,Boston University Scarlet and White,"Feb 3, 2017",558.2
42,"Barnett, Grace",JR-3,Clemson,9:18.78,2017 Armory Track Invitational (Colleges),"Feb 3, 2017",558.78
43,"Blaney, Anne-Marie",SR-4,UCF,9:18.87,2017 Rod McCravy Memorial T&F Meet,"Jan 20, 2017",558.87
44,"Goertzen, Brenley",SO-2,TCU,9:19.21,2017 Husky Classic,"Feb 10, 2017",559.21
45,"Melian, Christina",SR-4,Stony Brook,9:19.66,Fastrack National Invite,"Feb 10, 2017",559.66
46,"Kemp, Erika",JR-3,North Carolina St.,9:19.79,ACC Championships,"Feb 23, 2017",559.79
47,"Eder, Veronica",SR-4,Auburn,9:19.91,Razorback Invitational,"Jan 27, 2017",559.91
48,"Burda, Bella",SO-2,Villanova,9:20.15,Villanova Invitational,"Feb 4, 2017",560.15
49,"Monson, Alicia",FR-1,Wisconsin,9:20.18,Big Ten Indoor Track and Field Championships,"Feb 24, 2017",560.18
50,"Hunsberger, Jillian",SO-2,Penn State,9:20.23,Big Ten Indoor Track and Field Championships,"Feb 24, 2017",560.23
51,"Bilo, Peyton",SO-2,Cal Poly,9:20.46,2017 Husky Classic,"Feb 10, 2017",560.46
52,"Allen, Margaret",SO-2,Indiana,9:20.53,Big Ten Indoor Track and Field Championships,"Feb 24, 2017",560.53
53,"Ilarda, Brianna",JR-3,Providence,9:20.62,John Thomas Terrier Invitational,"Jan 27, 2017",560.62
54,"Ward, Regan",SR-4,Arkansas,9:20.84,Razorback Invitational,"Jan 27, 2017",560.84
55,"Durgin, Emily",SR-4,Connecticut,9:21.04,The American Indoor Track & Field Championships,"Feb 24, 2017",561.04
56,"Katz, Danielle",JR-3,Stanford,9:21.31,MPSF Indoor Track & Field Championships,"Feb 24, 2017",561.31
57,"Knights, Bethan",JR-3,California,9:21.35,2017 Husky Classic,"Feb 10, 2017",561.35
58,"Tubbs, Taylor",SR-4,Florida,9:21.36,Razorback Invitational,"Jan 27, 2017",561.36
59,"Neal, Kaitlyn",FR-1,Washington,9:21.79,2017 UW Invitational,"Jan 27, 2017",561.79
60,"Myers, Emily",SR-4,Nevada,9:22.14,2017 UW Invitational,"Jan 27, 2017",562.14
61,"Abrahamson, Ellie",SR-4,Wake Forest,9:22.18,ACC Championships,"Feb 23, 2017",562.18
62,"Seligman, Cayla",SO-2,Colorado,9:22.31,2017 Husky Classic,"Feb 10, 2017",562.31
63,"Bortfeld, Devon",JR-3,Washington St.,9:22.54,MPSF Indoor Track & Field Championships,"Feb 24, 2017",562.54
64,"Rawlings, Taryn",JR-3,Portland,9:22.62,MPSF Indoor Track & Field Championships,"Feb 24, 2017",562.62
65,"Belf, Audrey",SO-2,Georgetown,9:22.74,Fastrack National Invite,"Feb 10, 2017",562.74
66,"Maxwell, Julia",SO-2,Stanford,9:23.10,MPSF Indoor Track & Field Championships,"Feb 24, 2017",563.1
67,"Birk, Erica",JR-3,BYU,9:23.23,2017 UW Invitational,"Jan 27, 2017",563.23
68,"Pierce, Haley",SR-4,Georgetown,9:23.25,Fastrack National Invite,"Feb 10, 2017",563.25
69,"Peloquin, Brenna",SO-2,Boise State,9:23.33,2017 UW Invitational,"Jan 27, 2017",563.33
70,"Tanner, Natalie",SR-4,Columbia,9:23.41,Fastrack National Invite,"Feb 10, 2017",563.41
71,"Farello, Anna",SR-4,Portland,9:24.17,MPSF Indoor Track & Field Championships,"Feb 24, 2017",564.17
72,"Bean, Emily",JR-3,Ole Miss,9:24.20,2017 Rod McCravy Memorial T&F Meet,"Jan 20, 2017",564.2
73,"Hiltz, Nikki",JR-3,Arkansas,9:24.43,Vanderbilt Invitational,"Jan 20, 2017",564.43
74,"McInturff, Hannah",JR-3,Utah,9:24.52,2017 Husky Classic,"Feb 10, 2017",564.52
75,"West, Anna",FR-1,Baylor,9:25.00,Big 12 Indoor Track & Field Championships,"Feb 24, 2017",565.0
