Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Rainsberger, Katie",FR-1,Oregon,9:01.21,2017 Husky Classic,"Feb 10, 2017",541.21
2,"Buchalski, Allie",JR-3,Furman,"9:02.04
#",Camel City Invitational,"Feb 3, 2017",542.04
3,"Jones, Dani",SO-2,Colorado,9:02.22,2017 Husky Classic,"Feb 10, 2017",542.22
4,"Receveur, Katherine",SO-2,Indiana,9:03.71,2017 Meyo Invitational,"Feb 3, 2017",543.71
5,"Fraser, Vanessa",JR-3,Stanford,9:04.78,2017 Husky Classic,"Feb 10, 2017",544.78
6,"Koon, Rachel",SO-2,North Carolina St.,"9:05.32
#",Camel City Invitational,"Feb 3, 2017",545.32
7,"Nadel, Samantha",SR-4,Oregon,9:05.62,2017 Husky Classic,"Feb 10, 2017",545.62
8,"Jensen, Katie",JR-3,Rice,9:05.66,BU Last Chance 2017,"Feb 26, 2017",545.66
9,"Clark, Erin",SR-4,Colorado,9:05.93,2017 Husky Classic,"Feb 10, 2017",545.93
10,"Green, Claire",JR-3,Arizona,9:05.94,2017 Husky Classic,"Feb 10, 2017",545.94
11,"Werner, Taylor",FR-1,Arkansas,9:06.34,2017 Husky Classic,"Feb 10, 2017",546.34
12,"Cranny, Elise",JR-3,Stanford,9:06.35,2017 Husky Classic,"Feb 10, 2017",546.35
13,"Schweizer, Karissa",JR-3,Missouri,9:06.60,Iowa State Classic,"Feb 10, 2017",546.6
14,"Cash, Alli",JR-3,Oregon,9:06.91,2017 Husky Classic,"Feb 10, 2017",546.91
15,"Sereno, Gina",JR-3,Michigan,9:07.00,Big Ten Indoor Track and Field Championships,"Feb 24, 2017",547.0
16,"Barrett, Tessa",SO-2,Penn State,9:07.22,Penn State National,"Jan 27, 2017",547.22
17,"Finn, Erin",JR-3,Michigan,9:07.24,2017 Notre Dame Invitational,"Jan 21, 2017",547.24
18,"O'Brien, Clare",FR-1,Boise State,9:09.01,2017 Husky Classic,"Feb 10, 2017",549.01
19,"Hutchinson, Nicole",SO-2,Villanova,9:09.59,Villanova Invitational,"Feb 4, 2017",549.59
20,"Thackery, Calli",SR-4,New Mexico,9:09.77,2017 USATF New England Indoor Track & Field Championships,"Feb 19, 2017",549.77
21,"McDermitt, Jordann",JR-3,Eastern Michigan,9:10.42,2017 Meyo Invitational,"Feb 3, 2017",550.42
22,"Rustami, Henna",SR-4,Columbia,9:10.56,Villanova Invitational,"Feb 4, 2017",550.56
23,"Benner, Kaitlyn",JR-3,Colorado,9:11.42,MPSF Indoor Track & Field Championships,"Feb 24, 2017",551.42
24,"Schudrowitz, Natalie",JR-3,Brown,9:11.61,2017 Husky Classic,"Feb 10, 2017",551.61
