Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Gilbert, Colby",JR-3,Washington,7:45.71,2017 UW Invitational,"Jan 27, 2017",465.71
2,"Cheserek, Edward",SR-4,Oregon,7:46.85,Columbia East-West Challenge,"Jan 27, 2017",466.85
3,"Scott, Marc",SR-4,Tulsa,7:47.57,Iowa State Classic,"Feb 10, 2017",467.57
4,"Knight, Justyn",SO-2,Syracuse,7:47.82,Iowa State Classic,"Feb 10, 2017",467.82
5,"Young, Clayton",SO-2,BYU,7:49.76,2017 UW Invitational,"Jan 27, 2017",469.76
6,"McDonald, Morgan",JR-3,Wisconsin,7:51.19,2017 Armory Track Invitational (Colleges),"Feb 3, 2017",471.19
7,"Keelan, Jack",JR-3,Stanford,7:51.20,Iowa State Classic,"Feb 10, 2017",471.2
8,"Peterson, Erik",SR-4,Butler,7:51.21,2017 Meyo Invitational,"Feb 3, 2017",471.21
9,"Klecker, Joe",SO-2,Colorado,7:51.43,2017 Husky Classic,"Feb 10, 2017",471.43
10,"Dressel, John",SO-2,Colorado,7:51.44,MPSF Indoor Track & Field Championships,"Feb 24, 2017",471.44
11,"Carpenter, Scott",JR-3,Georgetown,7:51.51,Iowa State Classic,"Feb 10, 2017",471.51
12,"Corcoran, Garrett",SO-2,California,7:52.10,MPSF Indoor Track & Field Championships,"Feb 24, 2017",472.1
13,"Maton, Matthew",SO-2,Oregon,7:52.51,MPSF Indoor Track & Field Championships,"Feb 24, 2017",472.51
14,"Barraza, Brian",SR-4,Houston,7:53.60,2017 Husky Classic,"Feb 10, 2017",473.6
15,"Saarel, Ben",SR-4,Colorado,7:53.74,2017 Husky Classic,"Feb 10, 2017",473.74
16,"Terer, Amon",SR-4,Campbell,"7:54.40
#",Camel City Invitational,"Feb 3, 2017",474.4
17,"Rockhold, Cole",SO-2,Colorado St.,"7:54.48
@",2017 Mountain West Indoor Track & Field Championships,"Feb 23, 2017",474.48
18,"Erb, MJ",SR-4,Ole Miss,7:54.77,Razorback Invitational,"Jan 27, 2017",474.77
19,"Perrin, Zach",JR-3,Colorado,7:55.68,2017 Husky Classic,"Feb 10, 2017",475.68
20,"Chemadi, Kigen",FR-1,Mid. Tenn. State,"7:56.41
#",Camel City Invitational,"Feb 3, 2017",476.40999999999997
21,"Abbey, Jefferson",SR-4,Colorado St.,7:56.48,2017 Husky Classic,"Feb 10, 2017",476.48
22,"Kemboi, Amon",FR-1,Campbell,"7:56.50
#",Camel City Invitational,"Feb 3, 2017",476.5
23,"Fink, Willy",SR-4,Eastern Michigan,7:57.11,2017 Husky Classic,"Feb 10, 2017",477.11
24,"Baumgarten, Aaron",JR-3,Michigan,7:57.32,John Thomas Terrier Invitational,"Jan 27, 2017",477.32
25,"Aouani, Iliass",SO-2,Syracuse,7:57.67,John Thomas Terrier Invitational,"Jan 27, 2017",477.67
26,"Fraley, Troy",SR-4,Gonzaga,7:58.14,2017 UW Invitational,"Jan 27, 2017",478.14
27,"Bennie, Colin",SR-4,Syracuse,7:58.15,John Thomas Terrier Invitational,"Jan 27, 2017",478.15
28,"Bruce, Jack",JR-3,Arkansas,7:58.22,Iowa State Classic,"Feb 10, 2017",478.22
29,"Parsons, George",SR-4,North Carolina St.,"7:58.42
#",Camel City Invitational,"Feb 3, 2017",478.42
30,"Brandt, Robert",FR-1,California,7:58.58,2017 Husky Classic,"Feb 10, 2017",478.58
31,"Fischer, Grant",JR-3,Colorado St.,"7:58.61
@",2017 Mountain West Indoor Track & Field Championships,"Feb 23, 2017",478.61
32,"Linkletter, Rory",SO-2,BYU,7:58.81,2017 UW Invitational,"Jan 27, 2017",478.81
33,"Mock, Jerrell",SR-4,Colorado St.,"7:58.99
@",2017 Mountain West Indoor Track & Field Championships,"Feb 23, 2017",478.99
34,"Harper, Jonathan",JR-3,BYU,7:59.17,2017 UW Invitational,"Jan 27, 2017",479.17
35,"Reeder, Troy",JR-3,Furman,"7:59.39
#",Camel City Invitational,"Feb 3, 2017",479.39
36,"Blankenbaker, Dylan",SR-4,Oklahoma,7:59.67,2017 Husky Classic,"Feb 10, 2017",479.67
37,"Abdi, Hassan",JR-3,Oklahoma State,8:00.84,2017 Husky Classic,"Feb 10, 2017",480.84
38,"Bilvado, Jacob",SO-2,Air Force,"8:01.59
@",2017 Mountain West Indoor Track & Field Championships,"Feb 23, 2017",481.59
39,"Palamar, Adam",SR-4,Syracuse,8:01.87,Iowa State Classic,"Feb 10, 2017",481.87
40,"Albertson, CJ",SR-4,Arizona State,8:01.90,MPSF Indoor Track & Field Championships,"Feb 24, 2017",481.9
41,"Collins, Josh",SO-2,Southern Utah,8:02.03,2017 Husky Classic,"Feb 10, 2017",482.03
42,"Johnson, Brady",SR-4,Portland,8:02.21,MPSF Indoor Track & Field Championships,"Feb 24, 2017",482.21
43,"Chelanga, Alfred",JR-3,Alabama,8:02.30,SEC Championships,"Feb 24, 2017",482.3
44,"Crist, Jason",SR-4,Indiana,8:02.48,2017 Meyo Invitational,"Feb 3, 2017",482.48
45,"Anderson, Tanner",FR-1,Oregon,8:02.56,Columbia East-West Challenge,"Jan 27, 2017",482.56
46,"Dee, Liam",SO-2,Iona,8:02.71,Fastrack National Invite,"Feb 10, 2017",482.71
47,"Millar, Bryce",FR-1,Indiana,8:02.87,2017 Gladstein Invitational,"Jan 20, 2017",482.87
48,"Thies, Jeff",JR-3,Portland,8:03.36,MPSF Indoor Track & Field Championships,"Feb 24, 2017",483.36
49,"Farnham-Rose, Robbie",SR-4,Alabama,8:03.68,Vanderbilt Commodore Invite,"Jan 13, 2017",483.68
50,"Maggard, Dillon",JR-3,Utah State,"8:03.69
@#","MSU, ISU, UM, USU Dual Meet","Jan 20, 2017",483.69
