Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
51,"Nowak, Craig",SR-4,Oklahoma State,8:03.70,Big 12 Indoor Track & Field Championships,"Feb 24, 2017",483.7
52,"Villarreal, Cameron",SR-4,Texas A&M,8:03.76,SEC Championships,"Feb 24, 2017",483.76
53,"Randon, James",SR-4,Yale,8:03.80,Boston University David Hemery Valentine Inv.,"Feb 10, 2017",483.8
54,"Fahy, Steven",SO-2,Stanford,8:03.83,2017 UW Invitational,"Jan 27, 2017",483.83
55,"Luevano, Paul",FR-1,Boston U.,8:03.88,John Thomas Terrier Invitational,"Jan 27, 2017",483.88
56,"Kosgei, Antony",SO-2,UTEP,8:04.19,Vanderbilt Commodore Invite,"Jan 13, 2017",484.19
57,"Rmidi Kinini , Khalil",SR-4,Maryland-Eastern Shore,8:04.28,Boston University David Hemery Valentine Inv.,"Feb 10, 2017",484.28
58,"Lafond, Dylan",SR-4,Illinois,"8:04.32
#",Illinois Orange & Blue Open,"Feb 18, 2017",484.32
59,"Boit, Cosmas",SR-4,UTEP,8:04.59,Vanderbilt Commodore Invite,"Jan 13, 2017",484.59
60,"Seufer, Peter",SO-2,Virginia Tech,"8:04.63
#",Camel City Invitational,"Feb 3, 2017",484.63
61,"Dunderdale, Haran",JR-3,Bradley,8:04.87,2017 Meyo Invitational,"Feb 3, 2017",484.87
62,"Thompson, Joshua",SR-4,Oklahoma State,8:04.94,Razorback Invitational,"Jan 27, 2017",484.94
63,"Herrera, Eduardo",FR-1,Colorado,8:04.96,MPSF Indoor Track & Field Championships,"Feb 24, 2017",484.96
64,"Schwartzer, Matthew",SR-4,Indiana,8:04.98,Iowa State Classic,"Feb 10, 2017",484.98
64,"Fischer, Reed",SR-4,Drake,8:04.98,2017 Meyo Invitational,"Feb 3, 2017",484.98
66,"Schutte, Noah",SO-2,Portland,8:05.07,MPSF Indoor Track & Field Championships,"Feb 24, 2017",485.07
67,"Horrocks, Chase",SR-4,BYU,"8:05.08
@",2016 BYU December Invite,"Dec 8, 2016",485.08
68,"Huxham, Fred",SO-2,Washington,8:05.23,2017 UW Invitational,"Jan 27, 2017",485.23
69,"Gourley, Neil",JR-3,Virginia Tech,8:05.25,Music City Challenge,"Feb 10, 2017",485.25
70,"McGowan, Timothy",SO-2,Penn State,8:05.57,PSU Tune-Up,"Feb 18, 2017",485.57
71,"Thomson, Jacob",JR-3,Kentucky,8:05.60,2017 Rod McCravy Memorial T&F Meet,"Jan 20, 2017",485.6
72,"De La Torre, Daniel",JR-3,UCLA,8:05.63,MPSF Indoor Track & Field Championships,"Feb 24, 2017",485.63
73,"Hardt, Sherod",SR-4,Michigan State,8:05.65,2017 Meyo Invitational,"Feb 3, 2017",485.65
74,"Day, Tyler",SO-2,Northern Arizona,"8:05.66
@",2017 Big Sky Indoor Track & Field Championship,"Feb 23, 2017",485.66
75,"Hoyos, Kevyn",SR-4,Iowa State,8:05.75,Big 12 Indoor Track & Field Championships,"Feb 24, 2017",485.75
