Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Edwards, Kaela",SR-4,Oklahoma State,4:28.75,110th NYRR Millrose Games,"Feb 11, 2017",268.75
2,"Purrier, Elinor",JR-3,New Hampshire,4:29.44,110th NYRR Millrose Games,"Feb 11, 2017",269.44
3,"Rivers, Danae",FR-1,Penn State,4:32.55,2017 Husky Classic,"Feb 10, 2017",272.55
4,"Jones, Dani",SO-2,Colorado,"4:32.68
@",Colorado Open,"Feb 2, 2017",272.68
5,"Cleirigh Buttner, Siofra",JR-3,Villanova,4:33.16,Fastrack National Invite,"Feb 10, 2017",273.15999999999997
6,"Barnett, Grace",JR-3,Clemson,"4:33.40
#",UCS Invitational,"Feb 18, 2017",273.4
7,"Hutchinson, Nicole",SO-2,Villanova,"4:33.46
#",UCS Invitational,"Feb 18, 2017",273.46
8,"Harris, Jessica",JR-3,Notre Dame,4:33.80,ACC Championships,"Feb 23, 2017",273.8
9,"Neale, Amy-Eloise",JR-3,Washington,4:34.15,2017 Husky Classic,"Feb 10, 2017",274.15
10,"Paladino, Millie",JR-3,Providence,4:34.49,Boston University David Hemery Valentine Inv.,"Feb 10, 2017",274.49
11,"Schmiede, Frances",SR-4,Yale,4:34.54,Boston University David Hemery Valentine Inv.,"Feb 10, 2017",274.54
12,"Hiltz, Nikki",JR-3,Arkansas,4:35.10,2017 Husky Classic,"Feb 10, 2017",275.1
13,"Nelson, Karisa",JR-3,Samford,"4:35.55
#",Camel City Invitational,"Feb 3, 2017",275.55
14,"Rainsberger, Katie",FR-1,Oregon,4:35.60,MPSF Indoor Track & Field Championships,"Feb 24, 2017",275.6
15,"Schweizer, Karissa",JR-3,Missouri,4:35.61,Razorback Invitational,"Jan 27, 2017",275.61
16,"Collinsworth, Shea",SR-4,BYU,4:35.76,MPSF Indoor Track & Field Championships,"Feb 24, 2017",275.76
17,"Moye, Megan",SR-4,North Carolina St.,"4:36.32
#",UCS Invitational,"Feb 18, 2017",276.32
18,"Sereno, Gina",JR-3,Michigan,4:36.68,2017 Meyo Invitational,"Feb 3, 2017",276.68
19,"Connor, Sophie",SR-4,New Mexico,"4:36.86
@",New Mexico Team Invitational,"Jan 28, 2017",276.86
20,"Burdon, Lilli",SO-2,Oregon,4:36.98,2017 Husky Classic,"Feb 10, 2017",276.98
21,"Finn, Erin",JR-3,Michigan,"4:37.02
#",Simmons-Harvey Invite,"Jan 14, 2017",277.02
22,"Haiss, Therese",SR-4,Arkansas,4:37.27,Arkansas Invitational,"Jan 13, 2017",277.27
23,"Nadel, Samantha",SR-4,Oregon,4:37.48,Columbia East-West Challenge,"Jan 27, 2017",277.48
24,"Weisner, Kennedy",JR-3,Georgetown,4:37.92,Fastrack National Invite,"Feb 10, 2017",277.92
25,"Bockoven, Sammy",SO-2,Villanova,4:38.27,Fastrack National Invite,"Feb 10, 2017",278.27
26,"Hurta, Sage",FR-1,Colorado,4:38.39,2017 Husky Classic,"Feb 10, 2017",278.39
27,"Schuetz, Morgan",SR-4,LSU,4:38.45,SEC Championships,"Feb 24, 2017",278.45
28,"Strandemo, Madeline",JR-3,Minnesota,4:38.88,2017 Meyo Invitational,"Feb 3, 2017",278.88
28,"Calder, Brenna",JR-3,Indiana,4:38.88,2017 Meyo Invitational,"Feb 3, 2017",278.88
30,"Birk, Erica",JR-3,BYU,4:38.95,Iowa State Classic,"Feb 10, 2017",278.95
31,"Hamilton, Mary Beth",SR-4,Texas,4:39.11,2017 Husky Classic,"Feb 10, 2017",279.11
32,"Abrahamson, Emma",SO-2,Oregon,4:39.18,2017 Husky Classic,"Feb 10, 2017",279.18
33,"Green, Claire",JR-3,Arizona,4:39.23,MPSF Indoor Track & Field Championships,"Feb 24, 2017",279.23
34,"Kemp, Erika",JR-3,North Carolina St.,"4:39.45
#",UCS Invitational,"Feb 18, 2017",279.45
35,"Warner, Ashleigh",JR-3,BYU,4:39.48,Iowa State Classic,"Feb 10, 2017",279.48
36,"Price, Rhianwedd",JR-3,Miss State,4:39.57,Music City Challenge,"Feb 10, 2017",279.57
37,"Scholl, Tabor",FR-1,Colorado,"4:39.58
@",Colorado Open,"Feb 2, 2017",279.58
38,"Jensen, Katie",JR-3,Rice,4:39.61,Conference USA Indoor Track & Field Championships,"Feb 18, 2017",279.61
39,"Anderson, Olivia",SR-4,Butler,4:39.64,2017 Husky Classic,"Feb 10, 2017",279.64
40,"Rush, Kristi",JR-3,BYU,4:39.79,Iowa State Classic,"Feb 10, 2017",279.79
41,"Schmelzle, Hope",SR-4,Northern Illinois,4:39.82,2017 Alex Wilson Invitational,"Feb 18, 2017",279.82
42,"Johansen , Kimberly",SR-4,Elon,"4:40.00
#",UCS Invitational,"Feb 18, 2017",280.0
42,"Morrissey, Jamie",SR-4,Michigan,4:40.00,2017 Meyo Invitational,"Feb 3, 2017",280.0
44,"Cash, Alli",JR-3,Oregon,4:40.34,Columbia East-West Challenge,"Jan 27, 2017",280.34000000000003
45,"Gilchrist, Paige",JR-3,Northern Arizona,"4:40.38
@",NAU Mountain T's Invitational,"Feb 3, 2017",280.38
46,"Kocjancic, Julie",SR-4,Penn State,4:40.43,2017 Husky Classic,"Feb 10, 2017",280.43
47,"Frazier, Ryen",FR-1,North Carolina St.,"4:40.49
#",UCS Invitational,"Feb 18, 2017",280.49
