Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
48,"Hull, Jessica",SO-2,Oregon,4:40.66,MPSF Indoor Track & Field Championships,"Feb 24, 2017",280.65999999999997
49,"Rawlings, Taryn",JR-3,Portland,4:40.78,MPSF Indoor Track & Field Championships,"Feb 24, 2017",280.78
50,"Schlachtenhaufen, Helen",SR-4,Dartmouth,4:40.79,Boston University David Hemery Valentine Inv.,"Feb 10, 2017",280.79
51,"Clark, Erin",SR-4,Colorado,"4:41.03
@",Colorado Open,"Feb 2, 2017",281.03
52,"Cizmas, Natalie",JR-3,Eastern Michigan,4:41.18,2017 Meyo Invitational,"Feb 3, 2017",281.18
53,"Sisson, Annika",JR-3,Stony Brook,4:41.21,Fastrack National Invite,"Feb 10, 2017",281.21
54,"Boreman, Madison",FR-1,Colorado,4:41.41,MPSF Indoor Track & Field Championships,"Feb 24, 2017",281.40999999999997
55,"Corbosiero, Amanda",JR-3,Richmond,4:41.56,Boston University David Hemery Valentine Inv.,"Feb 10, 2017",281.56
56,"Receveur, Katherine",SO-2,Indiana,4:41.63,2017 Indiana v Purdue Duals,"Jan 14, 2017",281.63
57,"Orton, Whittni",FR-1,BYU,4:41.66,Iowa State Classic,"Feb 10, 2017",281.65999999999997
58,"Lazarchick, Kathryn",SR-4,Wake Forest,4:41.86,ACC Championships,"Feb 23, 2017",281.86
59,"Montoya, Maggie",SR-4,Baylor,4:42.06,Charlie Thomas Invitational,"Feb 3, 2017",282.06
60,"Fraser, Vanessa",JR-3,Stanford,4:42.27,2017 UW Indoor Preview,"Jan 14, 2017",282.27
61,"Bogdanova, Alsu",SR-4,Eastern Michigan,4:42.33,GVSU Open,"Jan 20, 2017",282.33
62,"Guay, Evelyne",JR-3,Iowa State,4:42.41,Iowa State Classic,"Feb 10, 2017",282.40999999999997
63,"Ward, Regan",SR-4,Arkansas,4:42.50,Arkansas Qualifier,"Feb 17, 2017",282.5
64,"Schudrowitz, Natalie",JR-3,Brown,4:42.54,John Thomas Terrier Invitational,"Jan 27, 2017",282.54
65,"Barrett, Tessa",SO-2,Penn State,4:42.56,Nittany Lion Challenge,"Jan 14, 2017",282.56
66,"Pocratsky, Rachel",SO-2,Virginia Tech,"4:42.59
#",Camel City Invitational,"Feb 3, 2017",282.59000000000003
67,"Strock, Carol",SR-4,James Madison,"4:42.67
#",UCS Invitational,"Feb 18, 2017",282.67
68,"Schwanz, Annemarie",SR-4,Fresno State,"4:42.68
@",2017 Mountain West Indoor Track & Field Championships,"Feb 23, 2017",282.68
69,"Gillespie, Carina",JR-3,Air Force,"4:43.02
@",2017 Mountain West Indoor Track & Field Championships,"Feb 23, 2017",283.02
70,"Moore, S. Brooke",SO-2,Indiana State,4:43.04,2017 Meyo Invitational,"Feb 3, 2017",283.04
71,"Lucki, Alexandra",JR-3,Maryland,4:43.13,Big Ten Indoor Track and Field Championships,"Feb 24, 2017",283.13
72,"Stauber, Ruby",FR-1,LSU,4:43.17,Auburn Invitational,"Jan 21, 2017",283.17
73,"Brown, Sydney",SO-2,Arkansas,4:43.24,Arkansas Qualifier,"Feb 17, 2017",283.24
74,"Ilarda, Brianna",JR-3,Providence,4:43.25,Boston University David Hemery Valentine Inv.,"Feb 10, 2017",283.25
75,"Reina, Valerie",SR-4,Arkansas,4:43.32,Arkansas Qualifier,"Feb 17, 2017",283.32
