Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Wildschutt, Adriaan",JR-3,Florida State,13:09.30,2022 Boston University David Hemery Valentine Invitational,"Feb 11, 2022",789.3
2,"Jacobs, Dylan",JR-3,Notre Dame,13:14.04,2022 Boston University David Hemery Valentine Invitational,"Feb 11, 2022",794.04
3,"Kiptoo, Wesley",JR-3,Iowa State,13:14.74,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",794.74
4,"Robinson, Ky",FR-1,Stanford,13:21.85,2022 Husky Classic,"Feb 11, 2022",801.85
5,"Bienenfeld, Aaron",SR-4,Oregon,13:21.99,2022 Boston University Last Chance Meet,"Feb 27, 2022",801.99
6,"Nur, Abdihamid",SO-2,Northern Arizona,13:22.24,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",802.24
7,"Young, Nico",FR-1,Northern Arizona,13:22.59,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",802.59
8,"Fay, Brian",JR-3,Washington,13:24.00,2022 Husky Classic,"Feb 11, 2022",804.0
9,"Sprout, Cole",FR-1,Stanford,13:24.38,2022 Husky Classic,"Feb 11, 2022",804.38
10,"El-Sandali, Ehab",SR-4,Iona,13:25.01,2022 Boston University Last Chance Meet,"Feb 27, 2022",805.01
11,"Gilman, Sam",JR-3,Air Force,13:25.17,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",805.17
12,"Maier, Alex",SO-2,Oklahoma State,13:25.79,2022 Husky Classic,"Feb 11, 2022",805.79
13,"Keane, Barry",JR-3,Butler,13:25.96,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",805.96
14,"Bosley, Drew",FR-1,Northern Arizona,13:26.19,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",806.19
15,"Muhumed, Ahmed",SR-4,Florida State,13:26.40,2022 Boston University David Hemery Valentine Invitational,"Feb 11, 2022",806.4
16,"Kemboi, Amon",SR-4,Arkansas,13:26.44,2022 Husky Classic,"Feb 11, 2022",806.44
17,"Kioko, Athanas",SR-4,Campbell,"13:27.00
#",Big South Indoor Track & Field Championships,"Feb 24, 2022",807.0
18,"Carmody, Matthew",JR-3,Notre Dame,13:27.34,2022 Boston University David Hemery Valentine Invitational,"Feb 11, 2022",807.34
19,"Jordan, Andrew",SR-4,Georgetown,13:28.10,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",808.1
20,"Kusche, George",JR-3,Northern Arizona,13:28.95,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",808.95
21,"Methner, Joshua",FR-1,Notre Dame,13:32.30,2022 Boston University David Hemery Valentine Invitational,"Feb 11, 2022",812.3
22,"Iverson, Acer",SO-2,Harvard,13:32.31,2022 Boston University David Hemery Valentine Invitational,"Feb 11, 2022",812.31
23,"Bedard, Simon",SR-4,Butler,13:32.48,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",812.48
