Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Wayment, Courtney",SR-4,BYU,4:30.47,Husky Classic 2021,"Feb 26, 2021",270.47
2,"Schadler, Allie",SR-4,Washington,4:31.21,Husky Classic 2021,"Feb 26, 2021",271.21
3,"Hoj, Olivia",SR-4,BYU,4:31.73,Husky Classic 2021,"Feb 26, 2021",271.73
4,"Hurta, Sage",SR-4,Colorado,4:31.80,Iowa State Classic,"Feb 12, 2021",271.8
5,"Gear, Krissy",JR-3,Arkansas,4:31.83,Tyson Invitational,"Feb 12, 2021",271.83
6,"Tyynismaa, Amaris",SO-2,Alabama,4:33.22,Tyson Invitational,"Feb 12, 2021",273.22
7,"Gregory, Lauren",SO-2,Arkansas,4:34.19,Tyson Invitational,"Feb 12, 2021",274.19
8,"Izzo, Katie",JR-3,Arkansas,4:34.39,Tyson Invitational,"Feb 12, 2021",274.39
9,"Skyring, Maudie",JR-3,Florida State,4:34.98,Tyson Invitational,"Feb 12, 2021",274.98
10,"Black, Lotte",SR-4,Rhode Island,"4:35.54
#",Camel City Invitational,"Feb 19, 2021",275.54
11,"Richards, Kaley",JR-3,UMass Lowell,"4:35.64
#",Camel City Invitational,"Feb 19, 2021",275.64
12,"Konieczek, Aneta",JR-3,Oregon,4:35.88,Tyson Invitational,"Feb 12, 2021",275.88
13,"Hanson, Heather",JR-3,BYU,4:36.49,Husky Classic 2021,"Feb 26, 2021",276.49
14,"Hunter, Kate",SR-4,BYU,4:37.17,Husky Classic 2021,"Feb 26, 2021",277.17
15,"Plourde, Simone",FR-1,BYU,4:37.24,Husky Classic 2021,"Feb 26, 2021",277.24
16,"Forbes, Grace",SO-2,Rice,4:37.53,Conference USA Indoor Track & Field Championships,"Feb 20, 2021",277.53
17,"Hyde, Gracie",JR-3,Arkansas,4:37.57,Tyson Invitational,"Feb 12, 2021",277.57
18,"Barrett, Imogen",JR-3,Florida,4:38.12,SEC Indoor Track & Field Championships,"Feb 25, 2021",278.12
19,"Rainsberger, Katie",SR-4,Washington,4:38.15,Husky Classic 2021,"Feb 26, 2021",278.15
20,"Van Camp, Isabel",FR-1,Arkansas,4:38.88,SEC Indoor Track & Field Championships,"Feb 25, 2021",278.88
21,"Morris, Logan",JR-3,Arkansas,4:39.01,Arkansas Invitational,"Jan 16, 2021",279.01
22,"Thomson, Kennedy",JR-3,Arkansas,4:39.19,Arkansas Qualifier,"Feb 5, 2021",279.19
23,"Henes, Elly",SR-4,NC State,"4:39.26
#",Camel City Invitational,"Feb 19, 2021",279.26
24,"Herman, Tori",FR-1,Kentucky,4:39.52,SEC Indoor Track & Field Championships,"Feb 25, 2021",279.52
25,"Shaw, Savannah",JR-3,NC State,"4:39.62
#",Camel City Invitational,"Feb 19, 2021",279.62
26,"Heisterman, Madison",JR-3,Washington,4:39.70,Husky Classic 2021,"Feb 26, 2021",279.7
27,"Markezich, Olivia",SO-2,Notre Dame,4:39.81,Lenny Lyles Cardinals Invitational,"Feb 17, 2021",279.81
28,"Drop, Jessica",SR-4,Georgia,4:39.83,Clemson Invite,"Jan 15, 2021",279.83
29,"Roe, Taylor",FR-1,Oklahoma State,4:39.87,Wooo Pig Classic,"Jan 22, 2021",279.87
30,"Leather, Ellie",SR-4,Cincinnati,"4:40.03
#",Camel City Invitational,"Feb 19, 2021",280.03
31,"Butler, Lindsey",SO-2,Virginia Tech,4:40.35,Tiger Paw Invite,"Feb 12, 2021",280.35
32,"Howell, Olivia",SO-2,Illinois,4:40.85,Hawkeye B1G Invitational,"Feb 12, 2021",280.85
33,"Guagenti, Allie",SO-2,Ohio State,4:40.89,B1G Indoor T&F Invitational,"Feb 12, 2021",280.89
34,"Weems, Presley",JR-3,Auburn,4:40.97,SEC Indoor Track & Field Championships,"Feb 25, 2021",280.97
35,"Vissa, Sintayehu",SO-2,Ole Miss,4:40.99,Music City Challenge,"Feb 12, 2021",280.99
36,"Hill, Alice",SR-4,Michigan,4:41.09,B1G Indoor T&F Invitational,"Feb 12, 2021",281.09000000000003
37,"Makin, Kelly",JR-3,Washington,4:41.18,UW Invite 2021,"Feb 12, 2021",281.18
38,"Fegans, Nicole",SR-4,Georgia Tech,4:41.33,Music City Challenge,"Feb 12, 2021",281.33
39,"Block, Anna Marian",JR-3,Georgia,4:41.60,Music City Challenge,"Feb 12, 2021",281.6
40,"Wheeler, Abbey",SR-4,Providence,"4:42.02
#",URI vs PC & UM-Lowell,"Feb 11, 2021",282.02
41,"Hentemann, Gabby",FR-1,Oklahoma State,4:42.03,Wooo Pig Classic,"Jan 22, 2021",282.03
42,"Osika, Katie",JR-3,Michigan State,4:42.09,B1G Indoor T&F Invitational,"Feb 12, 2021",282.09000000000003
43,"Hertenstein, Bailey",JR-3,Indiana,4:42.75,2021 Gladstein Invitational,"Jan 23, 2021",282.75
44,"Korzenowski, Anastasia",JR-3,Minnesota,4:42.82,Hawkeye B1G Invitational,"Feb 12, 2021",282.82
45,"Murrin, Anneka",JR-3,Loyola (Ill.),"4:42.87
#",2021 MVC Indoor Track & Field Championship,"Feb 26, 2021",282.87
46,"Gearing, Jenna",SR-4,Kentucky,4:42.92,South Carolina Invitational,"Feb 5, 2021",282.92
47,"Reed, Jami",SO-2,Alabama,4:42.95,Tyson Invitational,"Feb 12, 2021",282.95
48,"Hart, Katelynne",FR-1,Michigan,4:43.06,B1G Indoor T&F Invitational,"Feb 12, 2021",283.06
49,"Gray, Abby",SR-4,Arkansas,4:43.24,Arkansas Qualifier,"Feb 5, 2021",283.24
50,"Churchill, Alyson",FR-1,Florida State,4:43.30,Bob Pollock Indoor Invitational,"Jan 29, 2021",283.3
51,"Steely, Sydney",SO-2,Miss State,4:43.43,Razorback Invitational,"Jan 29, 2021",283.43
52,"King, Madeleine",SR-4,Ole Miss,4:43.44,South Carolina Invitational,"Feb 5, 2021",283.44
53,"Mossholder, Casey",SR-4,Michigan State,4:43.55,B1G Indoor T&F Invitational,"Feb 12, 2021",283.55
54,"Baragar-Petrash, Jennie",SR-4,North Dakota State,4:43.59,Summit League Indoor Championsips,"Feb 27, 2021",283.59000000000003
55,"Ewert, Taylor",FR-1,Arkansas,4:43.78,Tyson Invitational,"Feb 12, 2021",283.78
56,"Judd, Jodie",SR-4,Florida State,4:43.81,ACC Indoor Track & Field Championships,"Feb 25, 2021",283.81
57,"Craddock, Rebecca",JR-3,Illinois,4:43.86,Husker Quad,"Feb 6, 2021",283.86
58,"Abbes, Yasmine",SO-2,Florida State,4:43.89,ACC Indoor Track & Field Championships,"Feb 25, 2021",283.89
59,"Vess, Anna",SR-4,NC State,4:44.22,ACC Indoor Track & Field Championships,"Feb 25, 2021",284.22
60,"Lima, Jennifer",JR-3,Florida State,4:44.28,Bob Pollock Indoor Invitational,"Jan 29, 2021",284.28
61,"Barker, Jenna",JR-3,Indiana,4:44.57,B1G Indoor T&F Invitational,"Feb 12, 2021",284.57
62,"Nielsen, Wilma",FR-1,Bradley,"4:44.60
#",2021 MVC Indoor Track & Field Championship,"Feb 26, 2021",284.6
63,"Stoffel, Hannah",JR-3,Indiana,4:44.70,B1G Indoor T&F Invitational,"Feb 12, 2021",284.7
