Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
64,"Ballowe, Hannah",SO-2,Virginia Tech,4:44.92,ACC Indoor Track & Field Championships,"Feb 25, 2021",284.92
65,"Owen, Quinn",SO-2,Arkansas,4:44.96,Tyson Invitational,"Feb 12, 2021",284.96
66,"Olivere, Lydia",JR-3,Villanova,"4:45.17
#",Army vs. Villanova,"Feb 6, 2021",285.17
67,"Morris, Gracie",FR-1,Texas,4:45.32,Tyson Invitational,"Feb 12, 2021",285.32
68,"Mark-Helwigh, Anna",SO-2,Villanova,"4:45.51
#",Army vs. Villanova,"Feb 6, 2021",285.51
69,"Bockrath, Perri",JR-3,Kentucky,4:45.58,SEC Indoor Track & Field Championships,"Feb 25, 2021",285.58
70,"Winn, Loral",SO-2,Ole Miss,4:45.60,Razorback Invitational,"Jan 29, 2021",285.6
71,"Schmitt, Sarah",SO-2,Indiana,4:45.71,2021 Gladstein Invitational,"Jan 23, 2021",285.71
72,"Doan, Calli",JR-3,Liberty,4:45.84,Atlantic Sun Indoor Track & Field Championships,"Feb 26, 2021",285.84000000000003
73,"Mooney, Madison",JR-3,Wisconsin,4:45.92,Hawkeye B1G Invitational,"Feb 12, 2021",285.92
74,"Fisher, Emmeline",SR-4,North Carolina,4:46.13,ACC Indoor Track & Field Championships,"Feb 25, 2021",286.13
75,"Elkin, Anna",SR-4,Ole Miss,4:46.23,Vanderbilt Invitational,"Jan 15, 2021",286.23
