Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
35,"Thorvaldson, Sydney",SO-2,Arkansas,15:54.83,2023 Husky Classic,"Feb 10, 2023",954.83
36,"Stiles, Maeve",SO-2,Penn,15:55.03,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",955.03
37,"Rivera, Micaela",SR-4,Utah State,"15:55.47
@",2023 Mountain West Indoor Track & Field Championships,"Feb 23, 2023",955.47
38,"Roe, Taylor",JR-3,Oklahoma State,"15:55.63
@",Big 12 Indoor Championships,"Feb 24, 2023",955.63
39,"Ton-That, Elia",FR-1,Columbia,15:55.89,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",955.89
40,"Heckel, Emma",SO-2,New Mexico,"15:56.88
@",2023 Mountain West Indoor Track & Field Championships,"Feb 23, 2023",956.88
41,"Rafter, Angelia",SR-4,Central Connecticut,15:57.74,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",957.74
42,"Hutchins, Jenna",FR-1,BYU,15:57.96,2023 Ken Shannon Invitational,"Feb 24, 2023",957.96
43,"Noe, Camila",JR-3,Montana State,15:59.69,2023 Husky Classic,"Feb 10, 2023",959.69
44,"Perez, Makayla",JR-3,Western Michigan,"15:59.80
#",Mid-American Indoor Track & Field Championships,"Feb 24, 2023",959.8
45,"Boogerd, Skylar",SR-4,Ole Miss,16:00.28,Music City Challenge,"Feb 10, 2023",960.28
46,"Strzelecki, Erin",SO-2,Notre Dame,16:00.39,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",960.39
47,"Patterson, Victoria",SO-2,Columbia,"16:01.06
#",Ivy League Heptagonal Indoor Track & Field Championships,"Feb 25, 2023",961.06
48,"Curtis-Collins, Mackenna",SR-4,Wake Forest,16:02.07,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",962.07
49,"Mancini, Elizabeth",SR-4,La Salle,16:02.08,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",962.08
50,"Graham, Bethany",SO-2,Furman,16:02.34,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",962.34
