Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Tuohy, Katelyn",SO-2,NC State,15:15.92,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",915.92
2,"Olemomoi, Hilda",SO-2,Alabama,15:17.97,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",917.97
3,"Chelangat, Mercy",SR-4,Alabama,15:18.12,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",918.12
4,"Mazza-Downie, Amelia",SO-2,New Mexico,15:18.54,2023 Husky Classic,"Feb 10, 2023",918.54
5,"Venters, Emily",SR-4,Utah,15:20.37,2023 Husky Classic,"Feb 10, 2023",920.37
6,"Cook, Natalie",FR-1,Oklahoma State,15:24.26,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",924.26
7,"Chmiel, Kelsey",JR-3,NC State,15:27.83,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",927.83
8,"Frentheway, Aubrey",SR-4,BYU,15:32.82,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",932.82
9,"Baran, Ella",SR-4,Colorado,15:33.72,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",933.72
10,"Stearns, Elise",SO-2,Northern Arizona,15:33.74,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",933.74
11,"Gregory, Lauren",SR-4,Arkansas,15:34.61,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",934.61
12,"Seymour, Sydney",SR-4,NC State,15:35.61,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",935.61
13,"Larkin, Gracelyn",JR-3,New Mexico,15:37.47,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",937.47
14,"Smee, Ruby",SO-2,San Francisco,15:38.08,2023 Ken Shannon Invitational,"Feb 24, 2023",938.08
15,"Fehr, Jasmine",SR-4,Tennessee,15:38.59,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",938.59
16,"Dudek, Zofia",FR-1,Stanford,15:40.41,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",940.41
17,"Carter, Sarah",SR-4,Colorado St.,"15:41.70
@",2023 Mountain West Indoor Track & Field Championships,"Feb 23, 2023",941.7
18,"Vestri, Amanda",SR-4,Syracuse,15:42.48,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",942.48
19,"Jenks, Lucy",SO-2,Stanford,15:42.58,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",942.58
20,"Brown, Brynn",SO-2,North Carolina,15:43.09,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",943.09
21,"Donahue , Maggie",SO-2,Georgetown,15:43.98,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",943.98
22,"Kostarellis, Annamaria",SR-4,Baylor,15:44.95,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",944.95
23,"Dishon, Samree",SO-2,New Mexico,"15:45.08
@",2023 Mountain West Indoor Track & Field Championships,"Feb 23, 2023",945.08
24,"Lee, McKenna",SR-4,BYU,15:45.11,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",945.11
25,"Hatch, Billie",SR-4,Weber State,15:45.95,2023 Husky Classic,"Feb 10, 2023",945.95
26,"Kemboi, Everlyn",JR-3,Utah Valley,15:48.98,2023 Husky Classic,"Feb 10, 2023",948.98
27,"Stafford, Annabel",JR-3,Colorado St.,15:49.40,2023 Husky Classic,"Feb 10, 2023",949.4
28,"Liljegren, Daisy",SO-2,Boston University,15:50.70,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",950.7
29,"Riano, Carmen",JR-3,Miami (Ohio),15:50.83,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",950.83
30,"Quarzo, Gionna",SO-2,NC State,15:51.12,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",951.12
31,"Hamilton, Halle",SO-2,Air Force,15:51.39,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",951.39
32,"Harrington, Kelsey",SO-2,North Carolina,15:51.87,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",951.87
33,"Johnson, India",SR-4,Colorado,15:52.90,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",952.9
34,"Markezich, Andrea",JR-3,Washington,15:54.32,2023 Ken Shannon Invitational,"Feb 24, 2023",954.32
