Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
42,"Born, Molly",FR-1,Oklahoma State,"9:20.14
@",Big 12 Indoor Track & Field Championships,"Feb 26, 2021",560.14
43,"Magness, Jenna",JR-3,Michigan State,9:20.65,2021 UM B1G Simmons-Harvey Invitational,"Jan 16, 2021",560.65
44,"Chapman, Sarah",JR-3,Missouri,9:20.95,Music City Challenge,"Feb 12, 2021",560.95
45,"House, Kathryn",JR-3,Michigan,9:21.31,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",561.31
46,"Hart, Katelynne",FR-1,Michigan,9:21.85,2021 UM B1G Simmons-Harvey Invitational,"Jan 16, 2021",561.85
47,"Thronson, Katie",JR-3,Tennessee,9:21.89,Music City Challenge,"Feb 12, 2021",561.89
48,"Craddock, Rebecca",JR-3,Illinois,9:22.82,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",562.82
48,"Gearing, Jenna",SR-4,Kentucky,9:22.82,Music City Challenge,"Feb 12, 2021",562.82
50,"Abbes, Yasmine",SO-2,Florida State,9:23.20,Bob Pollock Indoor Invitational,"Jan 29, 2021",563.2
51,"Galarza, Liz",SR-4,Georgia Tech,9:24.36,Bob Pollock Indoor Invitational,"Jan 29, 2021",564.36
52,"Seymour, Sydney",SO-2,Tennessee,9:24.60,Bob Pollock Indoor Invitational,"Jan 29, 2021",564.6
53,"Schmitt, Sarah",SO-2,Indiana,9:24.66,2021 UM B1G Simmons-Harvey Invitational,"Jan 16, 2021",564.66
54,"Tran, Samantha",FR-1,Michigan,9:25.08,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",565.08
55,"Tuck, Lilly",SO-2,Providence,"9:25.26
#",URI vs PC & UM-Lowell,"Feb 11, 2021",565.26
56,"Clark, Rebecca",FR-1,Florida State,9:25.34,Bob Pollock Indoor Invitational,"Jan 29, 2021",565.34
57,"Gram, Lynsie",SR-4,Michigan State,9:25.85,2021 UM B1G Simmons-Harvey Invitational,"Jan 16, 2021",565.85
58,"Hofstad, Paige",SR-4,North Carolina,9:26.25,Darius Dixon Memorial Invite 2021,"Feb 12, 2021",566.25
59,"Judd, Jodie",SR-4,Florida State,9:26.38,Bob Pollock Indoor Invitational,"Jan 29, 2021",566.38
60,"Ewert, Taylor",FR-1,Arkansas,9:26.42,Tyson Invitational,"Feb 12, 2021",566.42
61,"Easterly, Kayla",JR-3,Florida State,9:26.66,Bob Pollock Indoor Invitational,"Jan 29, 2021",566.66
62,"Janke, Olivia",JR-3,Tennessee,9:26.83,Music City Challenge,"Feb 12, 2021",566.83
63,"Thomsen, Jaycie",JR-3,Minnesota,9:26.93,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",566.93
64,"King, Madeleine",SR-4,Ole Miss,9:27.17,Music City Challenge,"Feb 12, 2021",567.17
65,"Solomon, Mary Claire",JR-3,Georgia Tech,9:27.29,Music City Challenge,"Feb 12, 2021",567.29
66,"Halladay, Lexy",FR-1,BYU,9:27.70,UW Invite 2021,"Feb 12, 2021",567.7
67,"Windemuller, Kayla",SO-2,Michigan,9:28.01,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",568.01
68,"Kohut-Jackson, Abby",SR-4,Minnesota,9:28.03,Hawkeye B1G Invitational,"Feb 12, 2021",568.03
69,"Allen, Summer",SR-4,Weber State,"9:28.31
@",2021 BYU Cougar Indoor #1,"Jan 14, 2021",568.31
70,"Engel, Addie",FR-1,Ohio State,9:28.99,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",568.99
71,"Billings, Lindsay",SR-4,Kennesaw State,9:30.38,Atlantic Sun Indoor Track & Field Championships,"Feb 26, 2021",570.38
72,"Perez, Makayla",SO-2,Michigan State,9:30.77,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",570.77
73,"Cadeau, Madelynne",FR-1,Furman,9:31.01,Southern Conference Indoor Track and Field Championships,"Feb 27, 2021",571.01
74,"Lima, Jennifer",JR-3,Florida State,9:31.26,ACC Indoor Track & Field Championships,"Feb 25, 2021",571.26
75,"Oeser, Anna",JR-3,Boston College,9:31.70,ACC Indoor Track & Field Championships,"Feb 25, 2021",571.7
