Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Wayment, Courtney",SR-4,BYU,8:54.90,UW Invite 2021,"Feb 12, 2021",534.9
2,"Kimeli, Joyce",JR-3,Auburn,8:56.02,SEC Indoor Track & Field Championships,"Feb 25, 2021",536.02
3,"Izzo, Katie",JR-3,Arkansas,8:56.55,SEC Indoor Track & Field Championships,"Feb 25, 2021",536.55
4,"Hoj, Olivia",SR-4,BYU,8:56.91,UW Invite 2021,"Feb 12, 2021",536.91
5,"Schadler, Allie",SR-4,Washington,8:58.13,UW Invite 2021,"Feb 12, 2021",538.13
6,"Gregory, Lauren",SO-2,Arkansas,8:58.36,Tyson Invitational,"Feb 12, 2021",538.36
7,"Hasz, Bethany",SR-4,Minnesota,8:59.37,Hawkeye B1G Invitational,"Feb 12, 2021",539.37
8,"Henes, Elly",SR-4,NC State,9:00.53,ACC Indoor Track & Field Championships,"Feb 25, 2021",540.53
9,"Steelman, Hannah",SR-4,NC State,"9:00.70
#",Camel City Invitational,"Feb 19, 2021",540.7
10,"Chelangat, Mercy",JR-3,Alabama,9:02.54,South Carolina Invitational,"Feb 5, 2021",542.54
11,"Drop, Jessica",SR-4,Georgia,9:03.29,Razorback Invitational,"Jan 29, 2021",543.29
12,"Tyynismaa, Amaris",SO-2,Alabama,9:03.46,South Carolina Invitational,"Feb 5, 2021",543.46
13,"Skyring, Maudie",JR-3,Florida State,9:04.44,ACC Indoor Track & Field Championships,"Feb 25, 2021",544.44
14,"Forbes, Grace",SO-2,Rice,9:04.82,H-Town SpeedCity Series IV,"Feb 28, 2021",544.82
15,"Churchill, Alyson",FR-1,Florida State,9:07.06,ACC Indoor Track & Field Championships,"Feb 25, 2021",547.06
16,"Fegans, Nicole",SR-4,Georgia Tech,9:07.17,ACC Indoor Track & Field Championships,"Feb 25, 2021",547.17
17,"Gear, Krissy",JR-3,Arkansas,9:08.55,Razorback Invitational,"Jan 29, 2021",548.55
18,"Morris, Logan",JR-3,Arkansas,9:09.45,Wooo Pig Classic,"Jan 22, 2021",549.45
19,"Gray, Abby",SR-4,Arkansas,9:11.01,SEC Indoor Track & Field Championships,"Feb 25, 2021",551.01
20,"Markezich, Olivia",SO-2,Notre Dame,9:11.17,ACC Indoor Track & Field Championships,"Feb 25, 2021",551.17
21,"Wheeler, Abbey",SR-4,Providence,"9:12.44
#",URI vs PC & Northeastern,"Feb 25, 2021",552.44
22,"VanderLende, Ericka",SO-2,Michigan,9:12.45,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",552.45
23,"Brookover, Hannah",SR-4,Wake Forest,"9:13.24
#",Camel City Invitational,"Feb 19, 2021",553.24
24,"Black, Lotte",SR-4,Rhode Island,"9:14.80
#",URI vs PC & Northeastern,"Feb 25, 2021",554.8
25,"Tuohy, Katelyn",FR-1,NC State,"9:14.92
#",Camel City Invitational,"Feb 19, 2021",554.92
26,"Hentemann, Gabby",FR-1,Oklahoma State,"9:15.94
@",Big 12 Indoor Track & Field Championships,"Feb 26, 2021",555.94
27,"Herberg, Haley",JR-3,Washington,9:16.39,UW Invite 2021,"Feb 12, 2021",556.39
28,"Shaw, Savannah",JR-3,NC State,9:16.65,ACC Indoor Track & Field Championships,"Feb 25, 2021",556.65
29,"Elkin, Anna",SR-4,Ole Miss,9:17.19,Music City Challenge,"Feb 12, 2021",557.19
30,"Baragar-Petrash, Jennie",SR-4,North Dakota State,9:17.30,Summit League Indoor Championsips,"Feb 27, 2021",557.3
31,"Guagenti, Allie",SO-2,Ohio State,9:17.43,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",557.43
32,"Frentheway, Aubrey",JR-3,BYU,9:17.57,UW Invite 2021,"Feb 12, 2021",557.57
33,"Smith, Naomi",FR-1,Washington,9:17.94,UW Invite 2021,"Feb 12, 2021",557.94
34,"Hyde, Gracie",JR-3,Arkansas,9:18.03,Tyson Invitational,"Feb 12, 2021",558.03
35,"McCabe, Ceili",FR-1,West Virginia,"9:18.51
@",Big 12 Indoor Track & Field Championships,"Feb 26, 2021",558.51
36,"Tutt, Ashley",JR-3,Northern Illinois,"9:18.85
#",Mid-American Indoor Track & Field Championships,"Feb 26, 2021",558.85
37,"Logue, Cailie",JR-3,Iowa State,9:19.46,2021 Cyclone Open,"Jan 23, 2021",559.46
38,"White, Lauren",SR-4,Boston College,9:19.66,ACC Indoor Track & Field Championships,"Feb 25, 2021",559.66
39,"Reed, Jami",SO-2,Alabama,9:19.86,SEC Indoor Track & Field Championships,"Feb 25, 2021",559.86
40,"Hertenstein, Bailey",JR-3,Indiana,9:19.87,B1G Indoor T&F Invitational,"Feb 12, 2021",559.87
41,"Reinhart, Michaela",JR-3,Duke,9:19.94,ACC Indoor Track & Field Championships,"Feb 25, 2021",559.94
