Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
26,"Camp, Anna",SR-4,BYU,4:38.54,2020 MPSF Indoor Track & Field Championships,"Feb 28, 2020",278.54
27,"Berman, Lauren",SR-4,Virginia Tech,4:38.77,ACC Indoor Championships,"Feb 27, 2020",278.77
28,"Hasz, Bethany",JR-3,Minnesota,4:38.86,2020 Meyo Invitational,"Feb 7, 2020",278.86
28,"Kimeli, Joyce",SO-2,Auburn,4:38.86,Razorback Invitational,"Jan 31, 2020",278.86
30,"Mann, Karina",SR-4,Colorado,4:38.90,2020 MPSF Indoor Track & Field Championships,"Feb 28, 2020",278.9
31,"Nuttall, Gemma",SR-4,Iona,4:39.03,Boston University Last Chance Qualifier,"Feb 28, 2020",279.03
32,"Darmofal, Meg",SR-4,Michigan,4:39.18,Music City Challenge,"Feb 14, 2020",279.18
33,"Duca, Paige",SR-4,Boston College,4:39.25,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",279.25
34,"Nahom, Mia",JR-3,Connecticut,4:39.47,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",279.47
35,"Reed, Maddy",SR-4,Arkansas,4:39.62,2020 Husky Classic (College),"Feb 14, 2020",279.62
36,"Fuller, Annie",JR-3,Michigan State,4:39.78,2020 Meyo Invitational,"Feb 7, 2020",279.78
37,"Jackson , Hayley",SO-2,West Virginia,4:39.80,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",279.8
38,"Corman, Sami",SO-2,Georgetown,4:39.98,Boston University Last Chance Qualifier,"Feb 28, 2020",279.98
39,"Forbes, Grace",FR-1,Rice,4:40.05,Conference USA Indoor Track & Field Championships,"Feb 22, 2020",280.05
40,"Hill, Alice",JR-3,Michigan,4:40.15,Music City Challenge,"Feb 14, 2020",280.15
41,"Negron, Alondra",JR-3,New Mexico,"4:40.39
@",New Mexico Team Open,"Feb 1, 2020",280.39
42,"Cohen, Adva",JR-3,New Mexico,"4:40.41
@",Mountain West Indoor Championships,"Feb 27, 2020",280.40999999999997
43,"Norris, Mahala",JR-3,Air Force,"4:40.49
@",Mountain West Indoor Championships,"Feb 27, 2020",280.49
44,"Martin, Emily",SR-4,New Mexico,"4:40.90
@",New Mexico Team Open,"Feb 1, 2020",280.9
45,"Reinhart, Michaela",JR-3,Duke,"4:40.99
#",Camel City Invitational,"Feb 7, 2020",280.99
46,"Schulz, Johanna",SR-4,Wake Forest,4:41.24,Iowa State Classic,"Feb 14, 2020",281.24
47,"Cantine, Sophie",JR-3,Princeton,4:41.49,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",281.49
48,"Fegans, Nicole",JR-3,Georgia Tech,4:41.55,Charlie Thomas Invitational,"Feb 7, 2020",281.55
49,"Rudden, Lindsey",JR-3,Michigan State,4:41.56,2020 Meyo Invitational,"Feb 7, 2020",281.56
50,"Kohut-Jackson, Abby",JR-3,Minnesota,4:41.85,Iowa State Classic,"Feb 14, 2020",281.85
51,"Nichols, Abby",JR-3,Ohio State,4:41.92,2020 Meyo Invitational,"Feb 7, 2020",281.92
52,"Shaw, Savannah",SO-2,North Carolina St.,4:42.12,Hokie Invitational,"Jan 24, 2020",282.12
53,"Cardama Baez, Carmela",SR-4,Oregon,4:42.13,Razorback Invitational,"Jan 31, 2020",282.13
54,"Mareno, Nevada",SO-2,North Carolina St.,4:42.14,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",282.14
55,"Forsberg, Elsa",SR-4,Nebraska,4:42.16,Iowa State Classic,"Feb 14, 2020",282.15999999999997
56,"Newton, Sarah",SR-4,Utah,4:42.24,2020 Husky Classic (College),"Feb 14, 2020",282.24
57,"Gitahi, Esther",SR-4,Alabama,4:42.49,SEC Indoor Championships,"Feb 28, 2020",282.49
58,"Craddock, Rebecca",JR-3,Illinois,4:42.64,Music City Challenge,"Feb 14, 2020",282.64
59,"Chapman, Sarah",JR-3,Missouri,4:42.65,Razorback Invitational,"Jan 31, 2020",282.65
60,"McArthur, Rachel",JR-3,Colorado,4:42.68,2020 Husky Classic (College),"Feb 14, 2020",282.68
61,"Freix, Sara",SR-4,Virginia Tech,4:42.82,Hokie Invitational,"Jan 24, 2020",282.82
62,"Harding-Delooze, Amy",SO-2,Wake Forest,"4:43.03
#",Camel City Invitational,"Feb 7, 2020",283.03
63,"Collins, Destiny",SR-4,Texas,4:43.05,2020 Husky Classic (College),"Feb 14, 2020",283.05
64,"Chapman, Larkin",SR-4,Iowa State,4:43.16,2020 UW Invitational,"Jan 31, 2020",283.15999999999997
65,"Pascoe, Jessica",SR-4,Florida,4:43.18,Razorback Invitational,"Jan 31, 2020",283.18
66,"Akins, Nia",SR-4,Penn,"4:43.25
#",Ivy League Indoor Track & Field Championship,"Feb 29, 2020",283.25
67,"Hallam, Lydia",SR-4,New Mexico,"4:43.29
@",Mountain West Indoor Championships,"Feb 27, 2020",283.29
68,"Barrett, Imogen",SO-2,Florida,"4:43.35
#",Camel City Invitational,"Feb 7, 2020",283.35
69,"Clairmonte, Dominique",JR-3,North Carolina St.,4:43.41,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",283.40999999999997
70,"Barker, Jenna",SO-2,Indiana,4:43.64,Iowa State Classic,"Feb 14, 2020",283.64
71,"McCulloch, Shona",SO-2,Washington,4:43.87,2020 UW Last Chance College Elite,"Feb 21, 2020",283.87
72,"Castillo, Mariah",SO-2,TCU,4:43.89,Charlie Thomas Invitational,"Feb 7, 2020",283.89
73,"Grujic, Zorana",JR-3,Washington St.,4:43.91,2020 UW Last Chance College Elite,"Feb 21, 2020",283.90999999999997
74,"Herberg, Haley",SO-2,Washington,4:44.05,2020 UW Invitational,"Jan 31, 2020",284.05
75,"Gibson, Anna",SO-2,Washington,4:44.16,2020 MPSF Indoor Track & Field Championships,"Feb 28, 2020",284.15999999999997
