Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Jones, Dani",SR-4,Colorado,4:27.88,113th NYRR Millrose Games,"Feb 8, 2020",267.88
2,"Orton, Whittni",SR-4,BYU,4:29.76,Dr. Sander Columbia Challenge,"Jan 23, 2020",269.76
3,"Kelati, Weini",JR-3,New Mexico,"4:32.66
@",New Mexico Team Open,"Feb 1, 2020",272.65999999999997
4,"Rivers, Danae",SR-4,Penn State,4:32.95,113th NYRR Millrose Games,"Feb 8, 2020",272.95
5,"Heymach, Julia",JR-3,Stanford,4:33.37,2020 Husky Classic (College),"Feb 14, 2020",273.37
6,"Donaghu, Ella",JR-3,Stanford,4:33.71,Razorback Invitational,"Jan 31, 2020",273.71
7,"Edwards, Sarah",SR-4,Virginia Tech,"4:34.28
#",Camel City Invitational,"Feb 7, 2020",274.28
8,"Simiuc, Petronela",SR-4,Toledo,4:34.59,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",274.59000000000003
9,"Gillespie, Kathryn",SR-4,Texas,4:34.64,Boston University John Thomas Terrier Classic,"Jan 24, 2020",274.64
10,"Ejore, Susan",SR-4,Oregon,4:34.68,2020 Husky Classic (College),"Feb 14, 2020",274.68
11,"Jennings, Gabrielle",SR-4,Furman,"4:34.74
#",Camel City Invitational,"Feb 7, 2020",274.74
12,"Izzo, Katie",JR-3,Arkansas,4:35.03,2020 Husky Classic (College),"Feb 14, 2020",275.03
13,"Viljoen, Carina",SR-4,Arkansas,4:35.33,2020 Husky Classic (College),"Feb 14, 2020",275.33
14,"Lawson, Jessica",SO-2,Stanford,4:35.56,Razorback Invitational,"Jan 31, 2020",275.56
15,"Goldstein, Abbe",JR-3,Harvard,4:35.70,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",275.7
16,"Black, Lotte",JR-3,Rhode Island,4:36.35,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",276.35
17,"Howard, Millie",SR-4,Temple,4:36.37,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",276.37
18,"Gear, Krissy",JR-3,Arkansas,4:36.59,2020 Husky Classic (College),"Feb 14, 2020",276.59000000000003
19,"Skyring, Maudie",JR-3,Florida State,4:37.26,ACC Indoor Championships,"Feb 27, 2020",277.26
20,"Aragon, Christina",JR-3,Stanford,4:37.30,2020 Husky Classic (College),"Feb 14, 2020",277.3
21,"Juul, Anna",SO-2,Harvard,4:37.50,Boston University Bruce Lehane Scarlet and White Invite,"Feb 1, 2020",277.5
22,"Wasserman, Katie",SR-4,Columbia,"4:37.55
#",Camel City Invitational,"Feb 7, 2020",277.55
23,"Oakes, Jordan",SO-2,Stanford,4:37.69,2020 MPSF Indoor Track & Field Championships,"Feb 28, 2020",277.69
24,"Monson, Alicia",SR-4,Wisconsin,4:38.14,2020 Indiana University Relays,"Jan 31, 2020",278.14
25,"Richards, Kaley",JR-3,UMass Lowell,4:38.53,Boston University Last Chance Qualifier,"Feb 28, 2020",278.53
