Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Ryan, Lauren",JR-3,Florida State,8:47.88,2022 Boston University David Hemery Valentine Invitational,"Feb 11, 2022",527.88
2,"Wayment, Courtney",SR-4,BYU,8:50.05,114th Millrose Games,"Jan 29, 2022",530.05
3,"McCabe, Ceili",FR-1,West Virginia,8:52.52,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",532.52
4,"Chelangat, Mercy",JR-3,Alabama,8:53.16,2022 Boston University David Hemery Valentine Invitational,"Feb 11, 2022",533.16
5,"Gregory, Lauren",JR-3,Arkansas,8:53.77,2022 Husky Classic,"Feb 11, 2022",533.77
6,"Valby, Parker",FR-1,Florida,8:53.89,2022 Rod McCravy Memorial Track & Field Meet,"Jan 28, 2022",533.89
7,"Tuohy, Katelyn",FR-1,NC State,8:54.17,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",534.17
8,"Bush, Samantha",SO-2,NC State,8:54.37,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",534.37
9,"Mackay, Emily",SR-4,Binghamton,8:54.45,2022 Boston University John Thomas Terrier Classic (Friday),"Jan 28, 2022",534.45
10,"Chmiel, Kelsey",JR-3,NC State,"8:55.37
#",Camel City Invitational,"Feb 4, 2022",535.37
11,"Camarena, Katie",SR-4,Portland State,8:57.08,2022 Husky Classic,"Feb 11, 2022",537.08
12,"Mitchell, Kaylee",SO-2,Oregon State,8:58.39,2022 Pac-12 Invitational,"Feb 25, 2022",538.39
13,"Roe, Taylor",JR-3,Oklahoma State,8:58.58,Wooo Pig Classic,"Dec 3, 2021",538.58
14,"Heymach, Julia",SR-4,Stanford,8:59.69,2022 Pac-12 Invitational,"Feb 25, 2022",539.69
15,"Hays, Alexandra",JR-3,NC State,"9:00.49
#",Camel City Invitational,"Feb 4, 2022",540.49
16,"Herman, Tori",FR-1,Kentucky,9:00.60,SEC Indoor Championships,"Feb 25, 2022",540.6
17,"Fetherstonhaugh, Grace",SO-2,Oregon State,9:00.87,2022 Pac-12 Invitational,"Feb 25, 2022",540.87
18,"Fegans, Nicole",SR-4,Georgia Tech,9:01.31,ACC Indoor Track & Field Championships,"Feb 24, 2022",541.31
19,"Van Camp, Isabel",SO-2,Arkansas,9:01.34,SEC Indoor Championships,"Feb 25, 2022",541.34
20,"Shaw, Savannah",SO-2,NC State,"9:01.58
#",Camel City Invitational,"Feb 4, 2022",541.58
21,"Halladay, Lexy",FR-1,BYU,9:02.32,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",542.32
22,"Hasz, Bethany",SR-4,Minnesota,9:02.34,Meyo Invitational,"Feb 4, 2022",542.34
23,"Pray, Alison",SR-4,Southern Utah,9:02.46,2022 Husky Classic,"Feb 11, 2022",542.46
24,"Jolly, Logan",SR-4,Arkansas,9:03.02,SEC Indoor Championships,"Feb 25, 2022",543.02
25,"Schadler, Allie",SR-4,Washington,9:03.22,2022 Husky Classic,"Feb 11, 2022",543.22
26,"Larkin, Gracelyn",SO-2,New Mexico,"9:03.46
@",2022 Mountain West Indoor Track & Field Championships,"Feb 24, 2022",543.46
27,"Logue, Cailie",SR-4,Iowa State,9:03.49,Razorback Invitational,"Jan 28, 2022",543.49
28,"Goldstein, Abbe",SR-4,New Mexico,"9:03.86
@",2022 Mountain West Indoor Track & Field Championships,"Feb 24, 2022",543.86
29,"Kohut-Jackson, Abby",SR-4,Minnesota,9:04.07,Meyo Invitational,"Feb 4, 2022",544.07
30,"Covert, Emily",FR-1,Colorado,9:04.20,2022 Pac-12 Invitational,"Feb 25, 2022",544.2
31,"Jenks, Lucy",FR-1,Stanford,9:04.29,2022 Husky Classic,"Feb 11, 2022",544.29
32,"Hentemann, Gabby",SO-2,Oklahoma State,9:04.34,Razorback Invitational,"Jan 28, 2022",544.34
33,"Brown, Brynn",FR-1,North Carolina,9:04.55,ACC Indoor Track & Field Championships,"Feb 24, 2022",544.55
34,"Kimeli, Joyce",SR-4,Auburn,9:04.74,SEC Indoor Championships,"Feb 25, 2022",544.74
35,"Reinhart, Michaela",JR-3,Duke,9:04.95,ACC Indoor Track & Field Championships,"Feb 24, 2022",544.95
35,"Vissa, Sintayehu",JR-3,Ole Miss,9:04.95,2022 Indiana University Relays,"Jan 28, 2022",544.95
37,"Hatch, Billie",JR-3,Weber State,9:05.50,UW Invite 2022,"Jan 28, 2022",545.5
38,"Magness, Jenna",JR-3,Michigan State,9:05.62,2022 Indiana University Relays,"Jan 28, 2022",545.62
39,"Richards, Kaley",SR-4,UMass Lowell,9:06.05,2022 Boston University David Hemery Valentine Invitational,"Feb 11, 2022",546.05
40,"Smee, Ruby",FR-1,San Francisco,9:06.24,UW Invite 2022,"Jan 28, 2022",546.24
41,"Mazza-Downie, Amelia",SO-2,New Mexico,"9:06.88
@",2022 Mountain West Indoor Track & Field Championships,"Feb 24, 2022",546.88
42,"Thorvaldson, Sydney",FR-1,Arkansas,9:07.95,SEC Indoor Championships,"Feb 25, 2022",547.95
43,"Churchill, Alyson",FR-1,Florida State,9:08.09,2022 Boston University David Hemery Valentine Invitational,"Feb 11, 2022",548.09
44,"Corman, Sami",JR-3,Georgetown,9:08.43,2021 BU Sharon Colyear-Danville Season Opener,"Dec 4, 2021",548.43
45,"Markezich, Olivia",SO-2,Notre Dame,9:08.51,Meyo Invitational,"Feb 4, 2022",548.51
46,"DeLay, Kayley",SR-4,Yale,9:09.19,Ivy League Heptagonal Indoor Track & Field Championships,"Feb 26, 2022",549.19
47,"Upshaw, Aliandrea",FR-1,New Mexico,"9:09.60
@",2022 Mountain West Indoor Track & Field Championships,"Feb 24, 2022",549.6
48,"Thronson, Katie",JR-3,Tennessee,9:09.72,SEC Indoor Championships,"Feb 25, 2022",549.72
49,"Williams, Bella",JR-3,Utah,9:10.16,2022 Pac-12 Invitational,"Feb 25, 2022",550.16
50,"Curtis-Collins, Mackenna",JR-3,Wake Forest,"9:10.24
#",Camel City Invitational,"Feb 4, 2022",550.24
