Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Essayi, Anass",SO-2,South Carolina,3:50.46,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",230.46
2,"Waskom, Joe",SO-2,Washington,3:51.90,2023 UW Invite,"Jan 27, 2023",231.9
3,"Fay, Brian",SR-4,Washington,3:52.03,2023 UW Invite,"Jan 27, 2023",232.03
4,"Lumb, Kieran",SR-4,Washington,3:52.62,Last Chance Indoor National Qualifier at BU,"Feb 26, 2023",232.62
5,"Green, Nathan",FR-1,Washington,3:52.76,2023 UW Invite,"Jan 27, 2023",232.76
6,"Houser, Luke",JR-3,Washington,3:52.87,Last Chance Indoor National Qualifier at BU,"Feb 26, 2023",232.87
7,"Hamilton, Duncan",JR-3,Montana State,"3:52.99
#@",Big Sky Tuner,"Feb 17, 2023",232.99
8,"Ryan, Aidan",SR-4,Washington,3:53.65,Last Chance Indoor National Qualifier at BU,"Feb 26, 2023",233.65
9,"Messaoudi, Fouad",SO-2,Oklahoma State,"3:54.51
@",Big 12 Indoor Championships,"Feb 24, 2023",234.51
10,"Vanoppen, Thomas",SR-4,Wake Forest,3:54.85,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",234.85
11,"Basten, Isaac",JR-3,Drake,3:54.89,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",234.89
12,"McMahon-Staggs, Ronan",SO-2,UCLA,3:54.93,Arkansas Qualifier,"Feb 17, 2023",234.93
13,"Strand, Ethan",SO-2,North Carolina,3:55.08,Music City Challenge,"Feb 10, 2023",235.07999999999998
14,"Murphy, Conor",SO-2,Virginia,3:55.24,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",235.24
15,"Cook, Elliott",SO-2,Oregon,3:55.34,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",235.34
16,"Murphy, Liam",SO-2,Villanova,3:55.58,Penn State National Open,"Jan 27, 2023",235.57999999999998
17,"Ahl, Aaron",SR-4,Washington,3:55.60,Last Chance Indoor National Qualifier at BU,"Feb 26, 2023",235.6
18,"Spencer, Adam",SO-2,Wisconsin,3:55.61,Wisconsin Badger's Windy City Invite II,"Feb 10, 2023",235.61
19,"Schoppe, Ryan",SO-2,Oklahoma State,3:55.63,Razorback Invitational,"Jan 27, 2023",235.63
20,"Robinson, Ky",SO-2,Stanford,3:55.87,2023 UW Preview,"Jan 14, 2023",235.87
21,"Givens, Isaiah",FR-1,Colorado,3:55.99,2023 Ken Shannon Invitational,"Feb 24, 2023",235.99
22,"Foster, Nick",SR-4,Michigan,3:56.08,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",236.07999999999998
22,"O'Donovan, Charlie",SR-4,Villanova,3:56.08,Penn State National Open,"Jan 27, 2023",236.07999999999998
24,"Rizzo, Matthew",JR-3,Georgetown,3:56.20,2023 Boston University John Thomas Terrier Classic,"Jan 27, 2023",236.2
25,"Taylor, Levi",JR-3,Montana State,"3:56.34
#@",Big Sky Tuner,"Feb 17, 2023",236.34
26,"Sprout, Cole",SO-2,Stanford,3:56.53,2023 UW Preview,"Jan 14, 2023",236.53
27,"Blanks, Graham",FR-1,Harvard,3:56.63,Boston University Scarlet and White Invite,"Feb 4, 2023",236.63
28,"Miller, Duncan",SR-4,Princeton,3:56.77,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",236.77
29,"Carrozza, Crayton",JR-3,Texas,3:56.79,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",236.79
30,"Porter, Wes",SO-2,Virginia,3:56.83,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",236.82999999999998
30,"Martin, Gary",FR-1,Virginia,3:56.83,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",236.82999999999998
32,"Camerieri, Anthony",SR-4,Ole Miss,3:56.90,Music City Challenge,"Feb 10, 2023",236.9
33,"Hunt, Jesse",SR-4,North Carolina,3:56.91,Music City Challenge,"Feb 10, 2023",236.91
33,"Wolfe, Parker",SO-2,North Carolina,3:56.91,Music City Challenge,"Feb 10, 2023",236.91
35,"Troutner, Aidan",SO-2,BYU,"3:56.98
@",2023 BYU Cougar Indoor Invitational,"Jan 12, 2023",236.98
36,"Boyden, Thomas",FR-1,Stanford,3:57.06,2023 UW Preview,"Jan 14, 2023",237.06
37,"Bracken, Shane",SR-4,Ole Miss,3:57.07,Music City Challenge,"Feb 10, 2023",237.07
38,"Bons, Lucas",SO-2,BYU,3:57.11,2023 Ken Shannon Invitational,"Feb 24, 2023",237.11
39,"Magnusson, Baldvin",SR-4,Eastern Michigan,3:57.12,2023 Meyo Invitational (ND IND TF),"Feb 3, 2023",237.12
40,"Solomon, Carter",SO-2,Notre Dame,3:57.13,2023 Meyo Invitational (ND IND TF),"Feb 3, 2023",237.13
40,"Clinger, Casey",SO-2,BYU,3:57.13,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",237.13
42,"Ibrahim, Abdirizak",JR-3,New Mexico,3:57.21,2023 Husky Classic,"Feb 10, 2023",237.21
43,"Donahue, James",FR-1,Virginia,3:57.44,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",237.44
44,"Sharp, Jackson",JR-3,Wisconsin,3:57.45,2023 Indiana University Relays,"Jan 27, 2023",237.45
45,"Too, Nehemia",SR-4,Iowa State,3:57.46,ISU Classic,"Feb 4, 2023",237.46
46,"Henz, Vivien",FR-1,Harvard,3:57.47,Boston University Scarlet and White Invite,"Feb 4, 2023",237.47
47,"Marshall, Camden",SO-2,Indiana,3:57.56,Wisconsin Badger's Windy City Invite II,"Feb 10, 2023",237.56
48,"Jackson, Steven",SO-2,Boston College,3:57.70,2023 Boston University John Thomas Terrier Classic,"Jan 27, 2023",237.7
49,"Idhammar, Viktor",FR-1,Virginia Tech,3:57.76,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",237.76
49,"Teffra, Abel",SO-2,Georgetown,3:57.76,2023 Boston University John Thomas Terrier Classic,"Jan 27, 2023",237.76
