Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Mantz, Conner",JR-3,BYU,13:28.00,UW Invite 2021,"Feb 12, 2021",808.0
2,"Clinger, Casey",FR-1,BYU,13:28.79,UW Invite 2021,"Feb 12, 2021",808.79
3,"Garnica, Brandon",JR-3,BYU,13:29.16,UW Invite 2021,"Feb 12, 2021",809.16
4,"Kiptoo, Wesley",JR-3,Iowa State,"13:31.70
@",Big 12 Indoor Track & Field Championships,"Feb 26, 2021",811.7
5,"Bienenfeld, Aaron",SR-4,Cincinnati,"13:33.18
#",Camel City Invitational,"Feb 19, 2021",813.18
6,"Sandusky, Alec",SR-4,Cincinnati,"13:34.30
#",Camel City Invitational,"Feb 19, 2021",814.3
7,"Hamer, Eric",SR-4,Colorado St.,"13:36.18
@#",Mines Front Range #2,"Feb 5, 2021",816.18
8,"Kemboi, Amon",SR-4,Arkansas,13:38.95,Tyson Invitational,"Feb 12, 2021",818.95
9,"Wildschutt, Adriaan",SR-4,Florida State,13:39.43,Tyson Invitational,"Feb 12, 2021",819.43
10,"Boit, Gilbert",SR-4,Arkansas,13:40.20,Tyson Invitational,"Feb 12, 2021",820.2
11,"Foster, Shea",JR-3,SE Louisiana,13:40.36,Southland Conference Indoor Track & Field Championships,"Feb 28, 2021",820.36
12,"McLeod, Jacob",JR-3,Arkansas,13:41.26,Tyson Invitational,"Feb 12, 2021",821.26
13,"Veatch, Ben",SR-4,Indiana,13:42.08,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",822.08
14,"Beadlescomb, Morgan",SR-4,Michigan State,13:42.45,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",822.45
15,"Young, Matt",JR-3,Arkansas,13:42.59,Tyson Invitational,"Feb 12, 2021",822.59
16,"Johnsen, Colton",SR-4,Washington St.,13:43.72,UW Invite 2021,"Feb 12, 2021",823.72
17,"Jordan, Andrew",SR-4,Washington,13:44.70,UW Invite 2021,"Feb 12, 2021",824.7
18,"Rodriguez, Isai",SO-2,Oklahoma State,"13:44.85
@",Big 12 Indoor Track & Field Championships,"Feb 26, 2021",824.85
19,"Basten, Alec",SR-4,Minnesota,13:45.52,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",825.52
20,"Meyrer, Devin",SR-4,Michigan,13:46.68,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",826.68
21,"Green, Isaac",SR-4,Washington,13:47.41,UW Invite 2021,"Feb 12, 2021",827.41
22,"Scudder, Nickolas",SO-2,Charlotte,13:47.51,Conference USA Indoor Track & Field Championships,"Feb 20, 2021",827.51
23,"Houser, Luke",SO-2,Washington,13:47.68,UW Invite 2021,"Feb 12, 2021",827.68
24,"Kent, Andrew",SR-4,Georgia Tech,13:47.84,Music City Challenge,"Feb 12, 2021",827.84
25,"Gilman, Sam",SO-2,Air Force,13:48.36,Iowa State Classic,"Feb 12, 2021",828.36
26,"Brady, Tom",SO-2,Michigan,13:48.66,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",828.66
27,"Morris, Graydon",FR-1,Texas,13:48.73,Tyson Invitational,"Feb 12, 2021",828.73
