Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
28,"Sharp, Jackson",SO-2,Wisconsin,13:49.16,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",829.16
29,"Lopez Segura, Antonio",JR-3,Virginia Tech,13:49.86,ACC Indoor Track & Field Championships,"Feb 25, 2021",829.86
30,"Bullock, Cole",FR-1,Ole Miss,13:51.00,Music City Challenge,"Feb 12, 2021",831.0
31,"Eckstein, Curtis",SR-4,Purdue,13:51.79,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",831.79
32,"Hacker, Olin",SR-4,Wisconsin,13:52.20,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",832.2
33,"Waskom, Joe",SO-2,Washington,13:52.36,UW Invite 2021,"Feb 12, 2021",832.36
34,"Vasbinder, Kenny",JR-3,Notre Dame,13:52.70,ACC Indoor Track & Field Championships,"Feb 25, 2021",832.7
35,"Slenning, Alex",JR-3,Washington,13:54.76,UW Invite 2021,"Feb 12, 2021",834.76
36,"Trojan, JP",SR-4,Syracuse,13:56.10,ACC Indoor Track & Field Championships,"Feb 25, 2021",836.1
37,"Lee, Jacob",SR-4,Michigan,13:56.12,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",836.12
38,"Maier, Alex",FR-1,Oklahoma State,"13:56.14
@",Big 12 Indoor Track & Field Championships,"Feb 26, 2021",836.14
39,"Schroeder, Cooper",SO-2,Kansas State,13:57.66,Iowa State Classic,"Feb 12, 2021",837.66
40,"Armstrong, Elijah",JR-3,BYU,13:59.08,UW Invite 2021,"Feb 12, 2021",839.08
41,"Carmody, Matthew",JR-3,Notre Dame,13:59.28,ACC Indoor Track & Field Championships,"Feb 25, 2021",839.28
42,"Cannon, Ethan",JR-3,BYU,13:59.58,UW Invite 2021,"Feb 12, 2021",839.58
43,"Shumway, Clayson",SR-4,BYU,13:59.87,UW Invite 2021,"Feb 12, 2021",839.87
44,"Wood, Adam",JR-3,BYU,14:00.18,UW Invite 2021,"Feb 12, 2021",840.18
45,"Proctor, Tibebu",SR-4,Washington,14:00.38,UW Invite 2021,"Feb 12, 2021",840.38
46,"Koski, Kevin",SR-4,Illinois State,14:00.40,GVSU BIG MEET- Friday Team Meet,"Feb 12, 2021",840.4
47,"Kibichii, Ezekiel",SO-2,Iowa State,"14:02.26
@",Big 12 Indoor Track & Field Championships,"Feb 26, 2021",842.26
48,"Knight, Haftu",SO-2,Texas,14:02.28,Tyson Invitational,"Feb 12, 2021",842.28
49,"Allred, Easton",FR-1,BYU,14:03.02,UW Invite 2021,"Feb 12, 2021",843.02
50,"Foley, Trevor",SO-2,Florida,14:03.50,Tyson Invitational,"Feb 12, 2021",843.5
51,"Johnson, Ryan",SO-2,Air Force,14:03.70,Iowa State Classic,"Feb 12, 2021",843.7
52,"Romine, Josh",SR-4,Duke,14:03.84,ACC Indoor Track & Field Championships,"Feb 25, 2021",843.84
53,"Savino, Ben",JR-3,Ole Miss,14:03.92,Music City Challenge,"Feb 12, 2021",843.92
54,"Malebana, Dais",JR-3,Nebraska,14:04.22,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",844.22
55,"Kipkosgei, Shadrack",FR-1,Louisville,14:04.56,Music City Challenge,"Feb 12, 2021",844.56
56,"Murphy, Ryan",JR-3,Arkansas,14:04.88,SEC Indoor Track & Field Championships,"Feb 25, 2021",844.88
57,"Comerford, Alex",SO-2,Syracuse,14:04.94,ACC Indoor Track & Field Championships,"Feb 25, 2021",844.94
58,"Ambrosio, CJ",SO-2,Duke,14:05.68,ACC Indoor Track & Field Championships,"Feb 25, 2021",845.68
59,"Reading, Ares",SO-2,Furman,14:05.78,Music City Challenge,"Feb 12, 2021",845.78
60,"Wheeler, Charlie",JR-3,Wisconsin,14:06.79,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",846.79
61,"Aljabaly, Shuaib",SO-2,Wisconsin,14:07.13,Hawkeye B1G Invitational,"Feb 12, 2021",847.13
62,"Bernal, Daniel",JR-3,Furman,14:07.57,Music City Challenge,"Feb 12, 2021",847.57
63,"Scrape, Matthew",JR-3,Syracuse,14:07.89,ACC Indoor Track & Field Championships,"Feb 25, 2021",847.89
64,"Payne, Andy",SO-2,Eastern Michigan,14:08.01,GVSU BIG MEET- Friday Team Meet,"Feb 12, 2021",848.01
65,"Hirsch, Seth",JR-3,Wisconsin,14:08.34,Hawkeye B1G Invitational,"Feb 12, 2021",848.34
66,"Davis, Jonathan",SR-4,Illinois,14:08.64,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",848.64
67,"Gualter, Toby",SO-2,Eastern Michigan,14:08.65,GVSU BIG MEET- Friday Team Meet,"Feb 12, 2021",848.65
68,"Devaney, Chris",SO-2,Eastern Michigan,"14:08.72
#",Mid-American Indoor Track & Field Championships,"Feb 26, 2021",848.72
69,"Bowers, Sam",SO-2,Georgia,14:09.35,Music City Challenge,"Feb 12, 2021",849.35
70,"Melgares, Michael",SR-4,Kansas,"14:09.48
@",Big 12 Indoor Track & Field Championships,"Feb 26, 2021",849.48
71,"Timmons, Bailey",JR-3,Nebraska,14:10.28,B1G Indoor T&F Invitational,"Feb 12, 2021",850.28
72,"McIntire, Bailey",JR-3,Purdue,14:10.41,Big Ten Indoor Track and Field Championships,"Feb 25, 2021",850.41
73,"Troutner, Aidan",FR-1,BYU,14:10.75,UW Invite 2021,"Feb 12, 2021",850.75
74,"Gedris, James",SO-2,Michigan,14:11.05,B1G Indoor T&F Invitational,"Feb 12, 2021",851.05
75,"Derfel, Silas",SO-2,Syracuse,14:11.39,ACC Indoor Track & Field Championships,"Feb 25, 2021",851.39
