Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Tuohy, Katelyn",SO-2,NC State,4:24.26,Dr. Sander Invitational Columbia Challenge,"Jan 27, 2023",264.26
2,"Maatoug, Amina",SO-2,Duke,"4:29.87
#",Camel City Invitational,"Feb 3, 2023",269.87
3,"Ramsden, Maia",SO-2,Harvard,4:30.19,Boston University Scarlet and White Invite,"Feb 4, 2023",270.19
4,"Gibson, Anna",SR-4,Washington,"4:31.00
@",New Mexico Team Open,"Jan 27, 2023",271.0
5,"Butler, Lindsey",JR-3,Virginia Tech,4:31.41,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",271.41
6,"Carlson, Alexandra",SO-2,Rutgers,4:31.51,2023 Boston University John Thomas Terrier Classic,"Jan 27, 2023",271.51
7,"McCabe, Ceili",SO-2,West Virginia,4:31.57,Dr. Sander Invitational Columbia Challenge,"Jan 27, 2023",271.57
8,"Gregory, Lauren",SR-4,Arkansas,4:31.88,Razorback Invitational,"Jan 27, 2023",271.88
9,"Kazimierska, Klaudia",FR-1,Oregon,4:32.03,Arkansas Qualifier,"Feb 17, 2023",272.03
10,"Ayyildiz, Silan",SO-2,South Carolina,4:32.14,2023 SEC Indoor Track & Field Championships,"Feb 23, 2023",272.14
11,"Thornton-Bott, Izzy",JR-3,Oregon,4:32.69,Arkansas Qualifier,"Feb 17, 2023",272.69
12,"Asekol, Flomena",JR-3,Alabama,4:32.84,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",272.84000000000003
12,"Galvydyte, Gabija",JR-3,Oklahoma State,4:32.84,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",272.84000000000003
14,"Pellicoro, Laura",SO-2,Portland,4:32.91,2023 Ken Shannon Invitational,"Feb 24, 2023",272.90999999999997
15,"Mitchell, Kaylee",JR-3,Oregon State,4:32.95,Razorback Invitational,"Jan 27, 2023",272.95
16,"Chamberlain, Riley",FR-1,BYU,4:33.14,Razorback Invitational,"Jan 27, 2023",273.14
17,"O'Sullivan, Sophie",SO-2,Washington,4:33.24,2023 Husky Classic,"Feb 10, 2023",273.24
18,"Whittaker, Juliette",FR-1,Stanford,4:33.53,2023 Ken Shannon Invitational,"Feb 24, 2023",273.53
19,"Reiss, Annika",JR-3,Northern Arizona,"4:33.66
@",Ron Mann Classic,"Feb 3, 2023",273.65999999999997
