Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
20,"Howell, Olivia",JR-3,Illinois,4:33.77,2023 Meyo Invitational (ND IND TF),"Feb 3, 2023",273.77
21,"Rohatinsky, Taylor",FR-1,BYU,4:33.79,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",273.79
22,"Appleton, Margot",SO-2,Virginia,4:33.82,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",273.82
23,"Markezich, Olivia",JR-3,Notre Dame,4:34.00,2023 Meyo Invitational (ND IND TF),"Feb 3, 2023",274.0
24,"Jensen, Grace",SR-4,Georgetown,4:34.11,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",274.11
25,"Fetherstonhaugh, Grace",JR-3,Oregon State,4:34.32,2023 Ken Shannon Invitational,"Feb 24, 2023",274.32
26,"Parsons, Stefanie",SR-4,New Mexico,4:34.37,2023 Husky Classic,"Feb 10, 2023",274.37
27,"Jepkirui, Billah",FR-1,Oklahoma State,"4:34.41
@",Big 12 Indoor Championships,"Feb 24, 2023",274.40999999999997
28,"Penn, Rylee",SR-4,Cincinnati,4:34.44,Music City Challenge,"Feb 10, 2023",274.44
29,"Barnett, Mia",SO-2,UCLA,4:34.58,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",274.58
30,"Schein-Becker, Teagan",SR-4,Rider,4:34.63,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",274.63
31,"Roe, Taylor",JR-3,Oklahoma State,4:34.71,Razorback Invitational,"Jan 27, 2023",274.71
32,"Tran, Samantha",JR-3,Michigan,4:34.77,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",274.77
33,"Halladay-Lowry, Lexy",SO-2,BYU,4:34.83,2023 Ken Shannon Invitational,"Feb 24, 2023",274.83
34,"Bush, Samantha",JR-3,NC State,"4:35.07
#",Camel City Invitational,"Feb 3, 2023",275.07
35,"Elmore, Maddy",FR-1,Oregon,4:35.25,2023 Ken Shannon Invitational,"Feb 24, 2023",275.25
36,"Mitchell, Katherine",SR-4,Boston College,4:35.43,2023 Boston University John Thomas Terrier Classic,"Jan 27, 2023",275.43
37,"Sargent, Sadie",JR-3,BYU,4:35.94,Razorback Invitational,"Jan 27, 2023",275.94
38,"Marvin, Megan",SO-2,Furman,"4:36.07
#",Camel City Invitational,"Feb 3, 2023",276.07
38,"Winn, Loral",SR-4,Ole Miss,4:36.07,Music City Challenge,"Feb 10, 2023",276.07
40,"Thomas, Carley",JR-3,Washington,4:36.24,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",276.24
41,"Hassebrock, Ava",SO-2,Virginia Tech,"4:36.30
#",Camel City Invitational,"Feb 3, 2023",276.3
41,"Timm, Caroline",JR-3,Kennesaw State,4:36.30,Music City Challenge,"Feb 10, 2023",276.3
43,"Hansen, Carlee",SO-2,North Carolina,4:36.39,Music City Challenge,"Feb 10, 2023",276.39
44,"Claeson, Andrea",JR-3,Georgetown,4:36.51,2023 Boston University John Thomas Terrier Classic,"Jan 27, 2023",276.51
45,"Doan, Calli",SR-4,Liberty,4:36.52,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",276.52
46,"Ellis, Angelina",SR-4,Butler,4:37.06,2023 Meyo Invitational (ND IND TF),"Feb 3, 2023",277.06
47,"Riggins, Melissa",SO-2,Georgetown,4:37.07,BIG EAST Indoor Track & Field Championships,"Feb 24, 2023",277.07
48,"Thorner, Elise",SO-2,New Mexico,"4:37.27
@",New Mexico Team Open,"Jan 27, 2023",277.27
49,"Thronson, Katie",SR-4,Notre Dame,4:37.34,2023 Meyo Invitational (ND IND TF),"Feb 3, 2023",277.34000000000003
50,"McDonald, Katy-Ann",JR-3,Georgetown,4:37.42,BIG EAST Indoor Track & Field Championships,"Feb 24, 2023",277.42
