Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
28,"Kusche, George",FR-1,Nebraska,3:59.61,2019 Frank Sevigne Husker Invitational,"Feb 1, 2019",239.61
29,"Wood, Kieran",JR-3,Missouri,3:59.64,2019 Frank Sevigne Husker Invitational,"Feb 1, 2019",239.64
30,"Anstey, Jack",JR-3,Illinois State,3:59.66,Iowa State Classic,"Feb 8, 2019",239.66
31,"Griffith, Cameron",JR-3,Arkansas,3:59.68,Razorback Invitational,"Jan 25, 2019",239.68
32,"Mestler, Jackson",JR-3,Oregon,3:59.77,2019 Last Chance College Elite,"Feb 15, 2019",239.77
33,"Orndorf, Logan",SR-4,Portland,3:59.94,2019 UW Preview,"Jan 12, 2019",239.94
34,"Day, Tyler",JR-3,Northern Arizona,"4:00.18
@",Mountain T's Invitational,"Feb 1, 2019",240.18
35,"Zarate, Diego",JR-3,Virginia Tech,"4:00.31
#",Camel City Invitational,"Feb 1, 2019",240.31
36,"Espino, George",SR-4,Southern Utah,"4:00.36
@",Mountain T's Invitational,"Feb 1, 2019",240.36
37,"Curts, Dan",SR-4,Iowa State,4:00.56,Boston University Bruce Lehane Scarlet and White Invitationa,"Feb 2, 2019",240.56
38,"Young, Clayton",SR-4,BYU,4:00.77,2019 MPSF Indoor Track & Field Championships,"Feb 22, 2019",240.77
39,"Lagat, Festus",JR-3,Iowa State,4:00.83,2019 UW Invitational,"Jan 25, 2019",240.83
40,"Barnett, Chase",SR-4,Michigan,4:00.86,Boston University John Thomas Terrier Classic,"Jan 25, 2019",240.86
41,"Dickson, Marcus",SR-4,BYU,4:01.02,2019 MPSF Indoor Track & Field Championships,"Feb 22, 2019",241.02
42,"Young, Benjamin",JR-3,Kentucky,"4:01.04
#",Camel City Invitational,"Feb 1, 2019",241.04
43,"Hall, Michael",SR-4,Florida State,4:01.12,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",241.12
44,"Franco, Talem",JR-3,BYU,4:01.16,Iowa State Classic,"Feb 8, 2019",241.16
45,"Koech, Jonah",SR-4,Texas Tech,"4:01.20
@",Texas Tech Matador Qualifier,"Feb 15, 2019",241.2
46,"Day, Owen",SO-2,Eastern Michigan,4:01.25,2019 Meyo Invitational,"Feb 1, 2019",241.25
47,"Michalski, Daniel",SR-4,Indiana,4:01.32,2019 Indiana University Relays,"Jan 25, 2019",241.32
48,"Kelly, Kevin",SR-4,Drake,4:01.47,2019 Frank Sevigne Husker Invitational,"Feb 1, 2019",241.47
49,"Owens, Matt",SO-2,BYU,4:01.50,Iowa State Classic,"Feb 8, 2019",241.5
50,"Wareham, Nicholas",JR-3,Georgetown,4:01.60,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",241.6
51,"Hill, Ben",JR-3,Michigan,4:01.76,Boston University John Thomas Terrier Classic,"Jan 25, 2019",241.76
52,"Torpy, Sean",JR-3,Miami (Ohio),4:01.81,2019 Meyo Invitational,"Feb 1, 2019",241.81
53,"Hacker, Olin",JR-3,Wisconsin,4:01.82,Larry Wieczorek Invitational,"Jan 18, 2019",241.82
54,"Reiser, Jesse",JR-3,Illinois,4:01.98,2019 Frank Sevigne Husker Invitational,"Feb 1, 2019",241.98
55,"Beadlescomb, Morgan",SO-2,Michigan State,4:02.04,2019 Meyo Invitational,"Feb 1, 2019",242.04
56,"Mosavel-Lo, Bashir",FR-1,Virginia Tech,4:02.13,Iowa State Classic,"Feb 8, 2019",242.13
57,"Burdick, Kyle",SR-4,South Dakota St.,4:02.27,2019 Meyo Invitational,"Feb 1, 2019",242.27
58,"Wetzel, Logan",SR-4,Villanova,4:02.36,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",242.36
59,"Linkletter, Rory",SR-4,BYU,4:02.41,2019 UW Invitational,"Jan 25, 2019",242.41
59,"Beamer, Nate",SO-2,Washington,4:02.41,2019 MPSF Indoor Track & Field Championships,"Feb 22, 2019",242.41
61,"Phillips, Michael",FR-1,Syracuse,4:02.57,Boston University John Thomas Terrier Classic,"Jan 25, 2019",242.57
62,"Abert, Colin",SR-4,Penn State,4:02.65,Penn State Tune-Up,"Feb 16, 2019",242.65
63,"Landis, Luke",JR-3,Ohio State,4:02.69,Dr. Sander Columbia Challenge,"Jan 24, 2019",242.69
64,"Ellis, Sam",SO-2,Princeton,4:02.93,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",242.93
65,"Parker, Patrick",SO-2,BYU,4:03.14,Iowa State Classic,"Feb 8, 2019",243.14
66,"McGorty, Ryan",SR-4,William and Mary,"4:03.16
#",JDL DMR Invitational,"Feb 15, 2019",243.16
67,"Salisbury, Jack",JR-3,Georgetown,4:03.19,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",243.19
68,"Garcia Romo, Mario",FR-1,Ole Miss,4:03.30,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",243.3
69,"Torpy, Christopher",JR-3,Miami (Ohio),4:03.40,2019 Meyo Invitational,"Feb 1, 2019",243.4
70,"Bartlett, Avery",SR-4,Georgia Tech,4:03.61,Vanderbilt Invitational,"Jan 18, 2019",243.61
71,"Carpenter, Jaret",JR-3,Purdue,"4:03.64
#",Gene Edmonds Open,"Jan 12, 2019",243.64
72,"Daly, Colin",JR-3,Penn,4:03.65,Boston University Bruce Lehane Scarlet and White Invitationa,"Feb 2, 2019",243.65
73,"Ferro, Blaise",SO-2,Northern Arizona,"4:03.72
@#",Big Sky Indoor Track & Field Championships,"Feb 21, 2019",243.72
74,"Fahy, Steven",SR-4,Stanford,4:03.74,2019 UW Invitational,"Jan 25, 2019",243.74
75,"Prodanov, Martin",FR-1,Missouri,4:03.76,2019 Frank Sevigne Husker Invitational,"Feb 1, 2019",243.76
