Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Hoare, Oliver",JR-3,Wisconsin,3:54.83,112th NYRR Millrose Games,"Feb 9, 2019",234.82999999999998
2,"Suliman, Waleed",SO-2,Ole Miss,3:56.78,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",236.78
3,"Villarreal, Carlos",JR-3,Arizona,3:57.27,2019 Last Chance College Elite,"Feb 15, 2019",237.27
4,"Mau, Kyle",JR-3,Indiana,3:57.61,Iowa State Classic,"Feb 8, 2019",237.61
5,"Hunter, Charlie",SO-2,Oregon,3:57.74,2019 Last Chance College Elite,"Feb 15, 2019",237.74
6,"West, James",SR-4,Oregon,3:57.75,2019 Last Chance College Elite,"Feb 15, 2019",237.75
7,"Comber, Casey",JR-3,Villanova,3:57.80,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",237.8
8,"Nuguse, Yared",SO-2,Notre Dame,3:57.93,ACC Indoor Track & Field Championships,"Feb 21, 2019",237.93
9,"Worley, Sam",SO-2,Texas,3:57.98,2019 Husky Classic,"Feb 8, 2019",237.98
10,"Beamish, Geordie",JR-3,Northern Arizona,"3:57.99
@",Mountain T's Invitational,"Feb 1, 2019",237.99
11,"Davis, Jonathan",SO-2,Illinois,3:58.06,Larry Wieczorek Invitational,"Jan 18, 2019",238.06
12,"Paulson, William",SR-4,Arizona State,3:58.07,2019 MPSF Indoor Track & Field Championships,"Feb 22, 2019",238.07
13,"Brown, Reed",SO-2,Oregon,3:58.22,2019 Husky Classic,"Feb 8, 2019",238.22
14,"Klecker, Joe",JR-3,Colorado,3:58.51,2019 MPSF Indoor Track & Field Championships,"Feb 22, 2019",238.51
15,"Knevelbaard, Kasey",JR-3,Southern Utah,3:58.54,2019 UW Invitational,"Jan 25, 2019",238.54
16,"Gutierrez, Derek",SR-4,Ole Miss,3:58.55,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",238.55
17,"Stanovsek, Mick",JR-3,Washington,3:58.64,2019 Last Chance College Elite,"Feb 15, 2019",238.64
18,"Haney, Blake",SR-4,Oregon,3:58.73,2019 Last Chance College Elite,"Feb 15, 2019",238.73
19,"Rogers, Alex",SR-4,Texas,3:58.79,2019 UW Invitational,"Jan 25, 2019",238.79
19,"Ryan, Paul",JR-3,Washington St.,3:58.79,2019 MPSF Indoor Track & Field Championships,"Feb 22, 2019",238.79
21,"Grijalva, Luis",FR-1,Northern Arizona,"3:58.92
@",Mountain T's Invitational,"Feb 1, 2019",238.92000000000002
22,"Teare, Cooper",SO-2,Oregon,3:59.21,Razorback Invitational,"Jan 25, 2019",239.21
23,"Ostberg, Alex",JR-3,Stanford,3:59.31,2019 UW Invitational,"Jan 25, 2019",239.31
24,"Ritz, Sam",SR-4,Columbia,3:59.36,Boston University David Hemery Valentine Invitational,"Feb 8, 2019",239.36
25,"Tooker, Aidan",JR-3,Syracuse,3:59.39,Boston University John Thomas Terrier Classic,"Jan 25, 2019",239.39
26,"Kemboi, Amon",JR-3,Campbell,3:59.52,Clemson Bob Pollock Invitational,"Jan 25, 2019",239.52
27,"Hull, Talon",FR-1,Washington,3:59.56,2019 UW Invitational,"Jan 25, 2019",239.56
