Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Jacobs, Dylan",SR-4,Tennessee,13:11.01,2023 Boston University John Thomas Terrier Classic,"Jan 27, 2023",791.01
2,"Robinson, Ky",SO-2,Stanford,13:11.53,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",791.53
3,"Maier, Alex",JR-3,Oklahoma State,13:11.80,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",791.8
4,"Bosley, Drew",SO-2,Northern Arizona,13:13.26,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",793.26
5,"Young, Nico",SO-2,Northern Arizona,13:15.25,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",795.25
6,"Fay, Brian",SR-4,Washington,13:16.77,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",796.77
7,"Clinger, Casey",SO-2,BYU,13:17.36,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",797.36
8,"Blanks, Graham",FR-1,Harvard,13:18.45,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",798.45
9,"Wolfe, Parker",SO-2,North Carolina,13:19.73,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",799.73
10,"Keane, Barry",SR-4,Butler,13:21.57,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",801.57
11,"Hicks, Charles",JR-3,Stanford,13:22.05,Wisconsin Badger's Windy City Invite II,"Feb 10, 2023",802.05
12,"Kiprop, Patrick",SO-2,Arkansas,13:24.32,Wisconsin Badger's Windy City Invite II,"Feb 10, 2023",804.32
13,"Gilman, Sam",SR-4,Air Force,13:25.64,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",805.64
14,"Rodriguez, Isai",SR-4,Oklahoma State,13:25.84,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",805.84
15,"Iverson, Acer",JR-3,Harvard,13:26.11,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",806.11
15,"Solomon, Carter",SO-2,Notre Dame,13:26.11,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",806.11
17,"Nokes, Joey",SO-2,BYU,13:29.30,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",809.3
18,"Hart, Devin",JR-3,Stanford,13:29.31,2023 Ken Shannon Invitational,"Feb 24, 2023",809.31
19,"Shanklin, Ian",SR-4,NC State,13:29.61,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",809.61
20,"Aho, Jack",SR-4,North Carolina,13:31.23,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",811.23
21,"Beattie, Scott",SR-4,Tulsa,13:32.38,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",812.38
22,"Johnson, Chad",SR-4,Iowa State,13:33.15,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",813.15
23,"Martins, Ryan",SR-4,Loyola (Ill.),13:33.45,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",813.45
24,"Garnica, Brandon",SR-4,BYU,13:33.65,2023 Ken Shannon Invitational,"Feb 24, 2023",813.65
25,"Scudder, Nickolas",JR-3,Charlotte,13:33.69,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",813.69
26,"Guermali, Yacine",SR-4,Gonzaga,13:33.99,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",813.99
27,"Allen, Christian",JR-3,BYU,13:34.06,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",814.06
28,"Facioni, Zach",SR-4,Wake Forest,13:34.21,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",814.21
29,"Thompson, Creed",FR-1,BYU,13:34.30,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",814.3
30,"Hamilton, Duncan",JR-3,Montana State,13:34.45,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",814.45
31,"Thompson, Davin",SO-2,BYU,13:35.49,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",815.49
32,"Liking, Bob",FR-1,Wisconsin,13:35.64,Wisconsin Badger's Windy City Invite II,"Feb 10, 2023",815.64
33,"Harrison, Ian",JR-3,NC State,13:35.71,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",815.71
34,"Sweeney, Charlie",SR-4,Colorado,13:36.09,2023 Ken Shannon Invitational,"Feb 24, 2023",816.09
35,"Brady, Tom",SR-4,Michigan,13:36.61,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",816.61
36,"Herold, Peter",JR-3,UCLA,13:37.22,2023 Ken Shannon Invitational,"Feb 24, 2023",817.22
37,"Yego, Kirami",JR-3,South Alabama,13:38.45,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",818.45
37,"Burke, Evan",JR-3,Stanford,13:38.45,Wisconsin Badger's Windy City Invite II,"Feb 10, 2023",818.45
39,"Lumb, Kieran",SR-4,Washington,13:39.03,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",819.03
40,"Mwaura, James",JR-3,Gonzaga,13:39.39,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",819.39
41,"Rocha, Marcelo",SR-4,Providence,13:39.53,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",819.53
42,"Beaudoin-Rousseau, Meika",JR-3,Stanford,13:39.57,2023 Ken Shannon Invitational,"Feb 24, 2023",819.57
43,"Strangio, Matt",SO-2,Portland,13:39.59,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",819.59
44,"Longosiwa, Abraham",FR-1,Hofstra,13:39.61,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",819.61
45,"Johnson, Derek",SR-4,Virginia,13:39.88,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",819.88
46,"Power, Michael",SR-4,Tulsa,13:40.96,Wisconsin Badger's Windy City Invite II,"Feb 10, 2023",820.96
47,"Berg, Tyler",SR-4,Columbia,13:41.30,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022",821.3
48,"Perrin, Ben",JR-3,Montana State,13:41.44,2023 Husky Classic,"Feb 10, 2023",821.44
49,"Gillen, Toby",SO-2,Saint Louis,13:41.59,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",821.59
