Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Schweizer, Karissa",SR-4,Missouri,15:17.31,Boston University Season Opener,"Dec 2, 2017",917.31
2,"Kurgat, Ednah",JR-3,New Mexico,15:19.03,Boston University Season Opener,"Dec 2, 2017",919.03
3,"Henes, Elly",SO-2,North Carolina St.,"15:36.67
#",UCS Invitational,"Feb 16, 2018",936.67
4,"Kelati, Weini",FR-1,New Mexico,15:37.03,Boston University Season Opener,"Dec 2, 2017",937.03
5,"Clark, Erin",SR-4,Colorado,15:37.64,2018 Husky Classic,"Feb 9, 2018",937.64
6,"Lokedi, Sharon",SR-4,Kansas,15:39.05,Boston University Season Opener,"Dec 2, 2017",939.05
7,"O'Brien, Clare",SO-2,Boise State,15:42.60,2018 Husky Classic,"Feb 9, 2018",942.6
8,"Drop, Jessica",SO-2,Georgia,15:43.28,Iowa State Classic,"Feb 9, 2018",943.28
9,"Stoner, Paige",JR-3,Syracuse,15:44.04,Iowa State Classic,"Feb 9, 2018",944.04
10,"Murphy, Grayson",SR-4,Utah,15:44.45,Boston University Season Opener,"Dec 2, 2017",944.45
11,"Morley, Makena",SO-2,Colorado,15:44.48,2018 Husky Classic,"Feb 9, 2018",944.48
12,"Davis, Amy",JR-3,Wisconsin,15:44.65,Iowa State Classic,"Feb 9, 2018",944.65
13,"Gilchrist, Paige",SR-4,Northern Arizona,15:45.76,Iowa State Classic,"Feb 9, 2018",945.76
14,"Knights, Bethan",SR-4,California,15:45.94,2018 UW Invitational,"Jan 26, 2018",945.94
15,"Fraser, Vanessa",SR-4,Stanford,15:46.02,2018 UW Invitational,"Jan 26, 2018",946.02
16,"Wright, Alice",SR-4,New Mexico,15:46.85,Boston University Season Opener,"Dec 2, 2017",946.85
17,"Monson, Alicia",SO-2,Wisconsin,15:47.23,Iowa State Classic,"Feb 9, 2018",947.23
18,"Sang, Caroline",JR-3,Charlotte,15:47.28,Iowa State Classic,"Feb 9, 2018",947.28
19,"Receveur, Katherine",JR-3,Indiana,15:48.10,2017 Hoosier Open,"Dec 8, 2017",948.1
20,"Allen, Margaret",JR-3,Indiana,15:50.12,Iowa State Classic,"Feb 9, 2018",950.12
21,"LaRocco, Lauren",JR-3,Portland,15:50.25,Boston University Season Opener,"Dec 2, 2017",950.25
22,"Young, Laura",SR-4,BYU,15:51.02,Iowa State Classic,"Feb 9, 2018",951.02
23,"Cunningham, Megan",SR-4,Missouri,15:53.20,Music City Challenge,"Feb 9, 2018",953.2
24,"O'Keeffe, Fiona",FR-1,Stanford,15:53.40,2018 UW Invitational,"Jan 26, 2018",953.4
25,"Frisbie, Anne",JR-3,Iowa State,15:53.41,Iowa State Classic,"Feb 9, 2018",953.41
26,"Shanahan, Danielle",SR-4,Loyola Marymount,15:54.30,Boston University Season Opener,"Dec 2, 2017",954.3
27,"Cardama Baez, Carmela",SO-2,Oregon,15:55.00,MPSF Indoor Track & Field Championships,"Feb 23, 2018",955.0
28,"Smith, Jaci",JR-3,Air Force,"15:59.91
@",Mountain West Indoor Track & Field Championships,"Feb 22, 2018",959.91
29,"Prouse, Charlotte",SO-2,New Mexico,16:01.15,2018 Husky Classic,"Feb 9, 2018",961.15
30,"Oakley, Brie",FR-1,California,16:02.01,2018 Husky Classic,"Feb 9, 2018",962.01
31,"Korir, Vallery",SR-4,Washington St.,16:02.07,MPSF Indoor Track & Field Championships,"Feb 23, 2018",962.07
32,"McNulty, Abbie",JR-3,Stanford,16:03.16,MPSF Indoor Track & Field Championships,"Feb 23, 2018",963.16
33,"Hofstad, Paige",FR-1,Georgetown,16:04.84,Iowa State Classic,"Feb 9, 2018",964.84
34,"Gilfillan, Darby",SR-4,Colorado St.,"16:05.54
@",Mountain West Indoor Track & Field Championships,"Feb 22, 2018",965.54
35,"Zerrenner, Addi",SR-4,Arizona,16:05.65,MPSF Indoor Track & Field Championships,"Feb 23, 2018",965.65
36,"Rocha, Catarina",SR-4,Providence,16:05.85,BIG EAST Indoor Track & Field Championships,"Feb 23, 2018",965.85
37,"Carter, Kashley",SO-2,Utah State,"16:06.03
@",Mountain West Indoor Track & Field Championships,"Feb 22, 2018",966.03
38,"Mircheva, Militsa",SR-4,Florida State,16:07.12,Boston University David Hemery Valentine Invitational,"Feb 9, 2018",967.12
39,"Hunsberger, Jillian",JR-3,Penn State,16:07.26,Iowa State Classic,"Feb 9, 2018",967.26
40,"Wheeler, Abbey",SO-2,Providence,16:07.39,BIG EAST Indoor Track & Field Championships,"Feb 23, 2018",967.39
41,"Imer, Charlotte",SR-4,Eastern Kentucky,16:09.20,2017 Hoosier Open,"Dec 8, 2017",969.2
42,"West, Anna",SO-2,Baylor,16:09.81,Boston University Season Opener,"Dec 2, 2017",969.81
43,"Roberts, Aubrey",FR-1,Northwestern,16:10.04,Boston University Season Opener,"Dec 2, 2017",970.04
44,"McConnochie, Grace",SR-4,Boise State,"16:10.65
@",Mountain West Indoor Track & Field Championships,"Feb 22, 2018",970.65
45,"Malone, Shannon",SR-4,Syracuse,16:13.07,Boston University John Thomas Terrier Classic,"Jan 26, 2018",973.07
46,"Hackett, Alexandria",SR-4,Abilene Christian,16:14.07,Boston University Season Opener,"Dec 2, 2017",974.07
47,"Carnahan, Savannah",SO-2,Furman,16:14.49,Iowa State Classic,"Feb 9, 2018",974.49
48,"Clairmonte, Dominique",FR-1,North Carolina St.,16:14.92,Boston University Season Opener,"Dec 2, 2017",974.92
49,"Hackett, Michaela",SR-4,Abilene Christian,16:15.13,Boston University Season Opener,"Dec 2, 2017",975.13
50,"Ilse, Morgan",JR-3,North Carolina,16:16.77,Music City Challenge,"Feb 9, 2018",976.77
51,"Bogdanova, Alsu",SR-4,Eastern Michigan,16:16.81,GVSU Holiday Open,"Dec 1, 2017",976.81
52,"Hong, Abby",SR-4,Penn,"16:16.98
#",Ivy League Indoor Track & Field Championships,"Feb 24, 2018",976.98
53,"Hoj, Olivia",SO-2,BYU,16:17.60,Iowa State Classic,"Feb 9, 2018",977.6
54,"Sorensen, Shaelyn",JR-3,Wisconsin,16:19.09,Iowa State Classic,"Feb 9, 2018",979.09
55,"Kunc, Katy",SR-4,Kentucky,16:19.65,Iowa State Classic,"Feb 9, 2018",979.65
56,"Ratcliffe, Megan",SR-4,Brown,"16:19.89
#",Ivy League Indoor Track & Field Championships,"Feb 24, 2018",979.89
57,"Forrest, Gabrielle",JR-3,Princeton,"16:20.52
#",Ivy League Indoor Track & Field Championships,"Feb 24, 2018",980.52
