Rank,Athlete,Year,Team,Time,Meet,Meet_Date,Time_seconds
1,"Day, Tyler",SR-4,Northern Arizona,13:16.95,Boston University John Thomas Terrier Classic,"Jan 24, 2020",796.95
2,"Kurgat, Edwin",SR-4,Iowa State,13:24.04,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",804.04
3,"Masai, Alex",SR-4,Hofstra,13:28.55,Boston University Last Chance Qualifier,"Feb 28, 2020",808.55
4,"Grijalva, Luis",SO-2,Northern Arizona,13:29.74,Boston University John Thomas Terrier Classic,"Jan 24, 2020",809.74
5,"Beadlescomb, Morgan",JR-3,Michigan State,13:31.50,Iowa State Classic,"Feb 14, 2020",811.5
6,"Klecker, Joe",SR-4,Colorado,13:34.10,2020 Husky Classic (College),"Feb 14, 2020",814.1
7,"Seufer, Peter",SR-4,Virginia Tech,13:36.36,Iowa State Classic,"Feb 14, 2020",816.36
8,"Mestler, Jackson",SR-4,Oregon,13:36.62,2020 Husky Classic (College),"Feb 14, 2020",816.62
9,"Chemadi, Kigen",SR-4,Mid. Tenn. State,13:36.82,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",816.82
10,"Choge, Jacob",SR-4,Mid. Tenn. State,13:38.48,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",818.48
11,"Heslington, Jacob",SR-4,BYU,13:39.05,2020 Husky Classic (College),"Feb 14, 2020",819.05
12,"Ferro, Blaise",JR-3,Northern Arizona,13:39.58,2020 Husky Classic (College),"Feb 14, 2020",819.58
13,"Nur, Abdihamid",FR-1,Northern Arizona,"13:39.81
@",Mountain T's Invitational,"Jan 31, 2020",819.81
14,"Hamer, Eric",SR-4,Colorado St.,13:40.11,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",820.11
15,"Anderson, Tanner",SR-4,Washington,13:40.42,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",820.42
16,"Raff, Ryan",SO-2,Northern Arizona,"13:40.99
@",Mountain T's Invitational,"Jan 31, 2020",820.99
17,"Cheboson, Emmanuel",JR-3,Arkansas,13:41.90,2020 Husky Classic (College),"Feb 14, 2020",821.9
18,"O'Leary, Jack",JR-3,Iona,13:44.12,Boston University Last Chance Qualifier,"Feb 28, 2020",824.12
19,"Mau, Kyle",SR-4,Indiana,13:44.47,2019 Hoosier Open,"Dec 13, 2019",824.47
20,"Boit, Gilbert",SR-4,Arkansas,13:44.95,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",824.95
21,"Garnica, Brandon",SO-2,BYU,13:45.69,2020 Husky Classic (College),"Feb 14, 2020",825.69
22,"Silva, Evert",SO-2,Portland,13:47.68,2020 Husky Classic (College),"Feb 14, 2020",827.68
23,"Burke, Colin",SR-4,UCLA,13:47.78,2020 Husky Classic (College),"Feb 14, 2020",827.78
24,"Teran-Solano, Michael",SR-4,Portland,13:47.81,2020 Husky Classic (College),"Feb 14, 2020",827.81
25,"Bienenfeld, Aaron",SR-4,Cincinnati,13:48.57,2020 Husky Classic (College),"Feb 14, 2020",828.57
26,"Kioko, Athanas",JR-3,Campbell,13:48.97,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",828.97
27,"Young, Matt",SO-2,Arkansas,13:49.12,2020 Husky Classic (College),"Feb 14, 2020",829.12
28,"Veatch, Ben",JR-3,Indiana,13:50.33,Big Ten Indoor Track and Field Championships,"Feb 28, 2020",830.33
29,"Keane, Barry",SO-2,Butler,13:50.66,Iowa State Classic,"Feb 14, 2020",830.66
30,"Beamish, Geordie",SR-4,Northern Arizona,13:51.14,Boston University John Thomas Terrier Classic,"Jan 24, 2020",831.14
31,"George, Thomas",SR-4,Missouri,13:51.32,Iowa State Classic,"Feb 14, 2020",831.32
32,"Dever, Patrick",JR-3,Tulsa,13:54.39,Iowa State Classic,"Feb 14, 2020",834.39
33,"Parsons, Alek",JR-3,Stanford,13:54.42,2020 MPSF Indoor Track & Field Championships,"Feb 28, 2020",834.42
34,"Rowe, Jack",SR-4,Washington,13:54.72,2020 MPSF Indoor Track & Field Championships,"Feb 28, 2020",834.72
35,"Carmody, Matthew",SO-2,Notre Dame,13:56.00,Iowa State Classic,"Feb 14, 2020",836.0
36,"Carpenter, Jaret",SR-4,Purdue,13:56.50,Big Ten Indoor Track and Field Championships,"Feb 28, 2020",836.5
37,"Meyrer, Devin",JR-3,Michigan,13:56.80,Iowa State Classic,"Feb 14, 2020",836.8
38,"Reynolds, Garrett",JR-3,UCLA,13:57.06,2020 Husky Classic (College),"Feb 14, 2020",837.06
39,"Basten, Alec",JR-3,Minnesota,13:57.46,Big Ten Indoor Track and Field Championships,"Feb 28, 2020",837.46
40,"Rotich, Noel",SO-2,Alabama,13:58.75,Iowa State Classic,"Feb 14, 2020",838.75
41,"Soto, Daniel",SR-4,Iowa,13:58.97,Big Ten Indoor Track and Field Championships,"Feb 28, 2020",838.97
42,"Hirsch, Seth",SO-2,Wisconsin,13:59.47,2020 Husky Classic (College),"Feb 14, 2020",839.47
43,"Dragon, Joe",SR-4,Syracuse,13:59.49,Boston University John Thomas Terrier Classic,"Jan 24, 2020",839.49
44,"Vernau, Michael",SO-2,Stanford,13:59.89,2020 Husky Classic (College),"Feb 14, 2020",839.89
45,"Daly, Cameron",SR-4,Brown,14:00.31,Boston University John Thomas Terrier Classic,"Jan 24, 2020",840.31
46,"Lundy, Conor",SR-4,Princeton,14:00.33,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",840.33
47,"Hart, Devin",FR-1,Stanford,14:00.39,2020 Husky Classic (College),"Feb 14, 2020",840.39
48,"Leber, Brent",JR-3,Lipscomb,14:01.10,Music City Challenge,"Feb 14, 2020",841.1
49,"Casarez, Eric",FR-1,Texas A&M,14:01.50,SEC Indoor Championships,"Feb 28, 2020",841.5
50,"Facioni, Zach",SO-2,Wake Forest,14:01.66,ACC Indoor Championships,"Feb 27, 2020",841.66
51,"Meade, Luke",JR-3,Furman,14:01.80,2020 Husky Classic (College),"Feb 14, 2020",841.8
52,"Eckstein, Curtis",JR-3,Purdue,14:01.96,Big Ten Indoor Track and Field Championships,"Feb 28, 2020",841.96
53,"Pollard, Thomas",JR-3,Iowa State,14:01.97,Big 12 Championships,"Feb 28, 2020",841.97
54,"Coccia, Michael",SR-4,Ole Miss,14:02.08,2020 Husky Classic (College),"Feb 14, 2020",842.08
55,"Cheruiyot, Titus",FR-1,UTEP,14:03.03,Iowa State Classic,"Feb 14, 2020",843.03
56,"Schaffer, Dan",JR-3,Binghamton,14:03.06,Boston University Sharon Colyear-Danville Season Opener,"Dec 7, 2019",843.06
57,"Lawler, Nathan",FR-1,Syracuse,14:03.09,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",843.09
58,"Seyoum, Fitsum",JR-3,Virginia Tech,14:03.67,Iowa State Classic,"Feb 14, 2020",843.67
59,"Hornecker, Alec",JR-3,Colorado,14:04.18,2020 MPSF Indoor Track & Field Championships,"Feb 28, 2020",844.18
60,"Beattie, Luke",SR-4,Utah State,14:04.21,2020 Husky Classic (College),"Feb 14, 2020",844.21
61,"Roberts, Paul",SR-4,Wyoming,"14:04.91
@",Mountain West Indoor Championships,"Feb 27, 2020",844.91
62,"Weaver, Connor",JR-3,BYU,14:05.33,2020 Husky Classic (College),"Feb 14, 2020",845.33
63,"Bernal, Daniel",JR-3,Furman,14:05.38,2020 Husky Classic (College),"Feb 14, 2020",845.38
64,"Monahan, Peter",JR-3,Notre Dame,14:06.22,Iowa State Classic,"Feb 14, 2020",846.22
65,"Scrape, Matthew",FR-1,Syracuse,14:06.64,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",846.64
66,"Cross, Steven",JR-3,Florida State,14:06.78,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",846.78
66,"Kent, Andrew",JR-3,Georgia Tech,14:06.78,ACC Indoor Championships,"Feb 27, 2020",846.78
68,"Jha, Arjun",FR-1,Indiana,14:06.90,Big Ten Indoor Track and Field Championships,"Feb 28, 2020",846.9
69,"Beatty, Marshall",SO-2,Army West Point,14:07.22,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",847.22
70,"Mueller, Kyle",SR-4,Monmouth,14:07.39,Metro Atlantic Indoor Track & Field Championships,"Feb 22, 2020",847.39
71,"Griffith, Silas",JR-3,Florida State,14:07.93,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",847.93
72,"Beattie, Scott",SO-2,Tulsa,14:08.09,Iowa State Classic,"Feb 14, 2020",848.09
73,"Bouthillette, Matthew",JR-3,Georgetown,14:08.19,2020 BU David Hemery Valentine Invitational,"Feb 14, 2020",848.19
74,"Johnsen, Colton",JR-3,Washington St.,14:08.41,2020 UW Invitational,"Jan 31, 2020",848.41
75,"Ferlic, Evan",SR-4,Minnesota,14:08.86,Big Ten Indoor Track and Field Championships,"Feb 28, 2020",848.86
